df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,ppg_quality
58.455,98
59.465,100
60.475,100
62.495,97
63.505,98
64.515,99
65.525,101
67.545,104
68.545,105
69.555,103
71.575,102
73.595,109
74.605,111
75.615,112
76.625,110
77.635,108
78.645,106
79.655,105
80.665,105
82.685,102
84.705,97
86.725,98
88.745,100
90.765,102
91.775,101
92.785,102
93.795,101
94.805,103
95.815,104
97.835,106
99.855,104
100.855,103
102.875,105
103.885,109
104.895,107
106.915,99
107.925,87
108.935,74
110.955,65
112.975,67
114.995,59
117.015,61
118.025,73
120.045,95
121.055,94
122.065,91
124.085,80
126.105,76
128.125,68
130.145,66
132.165,71
133.165,74
135.185,89
137.205,100
138.215,107
139.225,113
140.235,91
141.245,75
142.255,63
144.275,51
145.285,49
148.315,40
150.335,60
152.355,78
154.375,75
156.395,67
157.405,69
158.415,68
160.435,68
161.445,69
163.465,84
165.485,97
166.495,104
167.505,105
169.525,95
171.545,88
173.565,92
175.585,91
176.595,89
178.615,85
180.635,89
181.645,87
182.655,80
184.675,79
186.695,83
187.705,86
188.715,94
189.725,100
190.735,104
191.745,106
193.765,109
195.785,109
197.805,110
198.815,107
199.825,104
201.845,98
202.855,98
204.875,99
206.895,95
207.905,92
208.915,94
210.935,102
211.945,107
212.955,106
213.965,104
214.975,101
216.995,103
218.005,105
220.025,97
222.045,90
224.065,88
226.085,88
228.105,86
230.125,92
231.135,95
233.155,98
235.175,104
237.195,103
239.215,102
241.235,100
242.245,99
244.265,93
245.275,89
246.285,87
248.305,82
250.325,78
252.345,81
253.355,82
254.365,85
256.385,91
259.415,98
260.425,100
261.435,99
263.455,96
265.475,94
266.485,96
267.495,96
268.505,99
269.515,101
270.525,101
271.535,104
272.545,105
273.555,107
274.565,106
275.575,106
276.585,105
278.605,102
279.615,101
281.635,98
282.645,97
285.675,100
287.695,101
289.715,102
291.735,101
293.755,100
294.765,103
296.785,102
298.805,98
300.825,96
302.845,98
304.865,99
306.885,102
308.905,105
310.925,105
311.935,106
312.945,107
313.955,106
315.975,105
317.995,101
320.015,100
322.035,100
323.045,100
325.065,102
327.085,105
328.095,103
329.105,118
331.125,96
333.145,77
334.155,72
335.165,72
337.185,70
338.195,73
339.205,61
340.215,75
342.235,99
344.255,113
345.265,111
346.275,113
348.295,115
350.315,114
352.335,112
353.345,111
355.365,118
357.385,116
359.405,113
361.425,110
362.435,108
363.445,105
365.465,98
366.475,98
367.485,98
368.495,101
370.515,97
371.525,98
372.535,99
374.555,100
375.565,99
377.585,96
378.595,94
379.605,93
380.615,93
381.625,93
383.645,93
384.655,97
385.665,97
386.675,96
387.685,94
388.695,94
389.705,94
391.725,92
393.745,90
394.755,86
396.775,86
398.795,92
400.815,92
402.835,99
404.855,89
405.865,83
406.875,82
407.885,79
408.895,81
409.905,79
411.925,75
413.945,76
415.965,87
417.985,73
420.005,55
421.015,57
423.035,64
425.055,67
427.075,69
429.095,72
430.105,75
432.125,64
433.135,63
435.155,62
436.165,62
438.185,71
439.195,81
440.205,88
441.215,92
442.225,92
444.245,93
445.255,94
447.275,97
448.285,100
449.295,97
450.305,95
451.315,94
453.335,90
455.355,105
456.365,106
457.375,97
458.385,95
459.395,96
460.405,98
461.415,100
464.445,100
465.455,95
466.465,94
468.485,110
470.505,110
472.525,108
474.545,109
476.565,109
477.575,107
478.585,100
479.595,97
481.615,93
482.625,91
483.635,88
485.655,80
487.675,81
488.685,87
490.705,94
491.715,95
492.725,97
494.745,101
496.765,103
498.785,99
500.805,98
502.825,72
504.845,50
505.855,44
507.875,39
509.895,39
511.915,52
513.935,77
515.955,100
516.965,101
517.975,110
519.995,117
521.005,117
522.015,100
523.025,86
525.045,67
527.065,43
529.085,27
531.105,21
532.115,36
533.125,51
534.135,62
535.145,68
537.165,89
540.195,95
542.215,92
543.225,83
544.235,73
546.255,48
547.265,43
548.275,49
549.285,46
550.295,45
552.315,47
553.325,51
555.345,65
557.365,75
558.375,74
559.385,73
561.405,72
563.425,70
564.435,68
565.445,69
567.465,67
568.475,68
570.495,63
572.515,44
574.535,59
577.565,69
578.575,71
579.585,71
580.595,78
581.605,85
582.615,98
583.625,97
585.645,91
586.655,86
587.665,88
589.685,78
591.705,76
592.715,70
594.735,63
596.755,58
598.775,74
599.785,78
600.795,81
601.805,79
602.815,83
604.835,89
605.845,94
606.855,97
607.865,93
609.885,78
611.905,78
613.925,78
615.945,75
616.955,71
617.965,66
618.975,61
619.985,62
620.995,63
622.005,63
624.025,58
625.035,62
627.055,60
629.075,58
631.095,61
633.115,60
635.135,70
636.145,72
638.165,80
639.175,88
640.185,88
642.205,100
644.225,90
645.235,84
646.245,74
647.255,73
648.265,74
649.275,78
650.285,88
652.305,94
654.325,104
656.345,120
659.375,111
661.395,102
663.415,72
664.425,59
665.435,47
667.455,34
669.475,51
670.485,46
671.495,39
673.515,46
674.525,53
676.545,72
677.555,77
678.565,74
680.585,74
682.605,86
683.615,83
685.635,74
687.655,68
688.665,66
689.675,57
691.695,50
693.715,59
695.735,70
