df_hash,22ZHK4.UJ02M7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WYNA
person_label,V35
date_time_start,2025-10-27_12-12-22.778000_+03
date_time_start_unix,1761552742.778
date_time_end,2025-10-27_12-15-29.729000_+03
length_difference_noticed,no

time,acc_mag
5.215,1.033
5.245,1.036
5.275,1.039
5.305,1.036
5.335,1.033
5.365,1.037
5.395,1.036
5.425,1.034
5.455,1.036
5.485,1.037
5.515,1.038
5.545,1.034
5.575,1.042
5.605,1.033
5.635,1.038
5.665,1.036
5.695,1.032
5.725,1.034
5.755,1.036
5.785,1.034
5.815,1.037
5.845,1.034
5.875,1.035
5.905,1.034
5.935,1.034
5.965,1.033
5.995,1.035
6.025,1.038
6.055,1.031
6.085,1.031
6.115,1.036
6.145,1.036
6.175,1.030
6.205,1.040
6.235,1.034
6.265,1.041
6.295,1.036
6.325,1.030
6.355,1.033
6.385,1.035
6.415,1.035
6.445,1.033
6.475,1.032
6.505,1.035
6.535,1.041
6.565,1.034
6.595,1.031
6.625,1.034
6.655,1.039
6.685,1.031
6.715,1.032
6.745,1.034
6.775,1.037
6.805,1.034
6.835,1.040
6.865,1.032
6.895,1.043
6.925,1.034
6.955,1.031
6.985,1.034
7.015,1.033
7.045,1.033
7.075,1.037
7.105,1.033
7.135,1.035
7.165,1.039
7.195,1.037
7.225,1.033
7.255,1.034
7.285,1.034
7.315,1.031
7.345,1.031
7.375,1.032
7.405,1.035
7.435,1.031
7.465,1.036
7.495,1.032
7.525,1.035
7.555,1.040
7.585,1.034
7.615,1.036
7.645,1.036
7.675,1.032
7.705,1.030
7.735,1.034
7.765,1.032
7.795,1.032
7.825,1.040
7.855,1.033
7.885,1.035
7.915,1.036
7.945,1.033
7.975,1.034
8.005,1.033
8.035,1.030
8.065,1.039
8.095,1.031
8.125,1.040
8.155,1.036
8.185,1.036
8.215,1.032
8.245,1.033
8.275,1.033
8.305,1.035
8.335,1.034
8.365,1.037
8.395,1.042
8.425,1.033
8.455,1.030
8.485,1.037
8.515,1.036
8.545,1.029
8.575,1.031
8.605,1.034
8.635,1.035
8.665,1.029
8.695,1.034
8.725,1.034
8.755,1.038
8.785,1.037
8.815,1.032
8.845,1.034
8.875,1.035
8.905,1.034
8.935,1.032
8.965,1.033
8.995,1.035
9.025,1.036
9.055,1.038
9.085,1.029
9.115,1.036
9.145,1.035
9.175,1.035
9.205,1.033
9.235,1.035
9.265,1.033
9.295,1.039
9.325,1.028
9.355,1.037
9.385,1.040
9.415,1.031
9.445,1.032
9.475,1.038
9.505,1.040
9.535,1.036
9.565,1.034
9.595,1.039
9.625,1.034
9.655,1.040
9.685,1.032
9.715,1.044
9.745,1.037
9.775,1.031
9.805,1.034
9.835,1.038
9.865,1.034
9.895,1.038
9.925,1.031
9.955,1.036
9.985,1.035
10.015,1.033
10.045,1.036
10.075,1.036
10.105,1.035
10.135,1.034
10.165,1.030
10.195,1.032
10.225,1.034
10.255,1.035
10.285,1.034
10.315,1.035
10.345,1.031
10.375,1.034
10.405,1.034
10.435,1.035
10.465,1.033
10.495,1.041
10.525,1.035
10.555,1.038
10.585,1.035
10.615,1.032
10.645,1.034
10.675,1.035
10.705,1.036
10.735,1.036
10.765,1.034
10.795,1.035
10.825,1.033
10.855,1.039
10.885,1.030
10.915,1.037
10.945,1.034
10.975,1.031
11.005,1.035
11.035,1.035
11.065,1.034
11.095,1.041
11.125,1.035
11.155,1.038
11.185,1.033
11.215,1.033
11.245,1.035
11.275,1.036
11.305,1.034
11.335,1.034
11.365,1.034
11.395,1.036
11.425,1.038
11.455,1.036
11.485,1.031
11.515,1.034
11.545,1.036
11.575,1.033
11.605,1.035
11.635,1.033
11.665,1.033
11.695,1.033
11.725,1.030
11.755,1.033
11.785,1.040
11.815,1.033
11.845,1.033
11.875,1.036
11.905,1.036
11.935,1.034
11.965,1.033
11.995,1.035
12.025,1.034
12.055,1.038
12.085,1.036
12.115,1.031
12.145,1.042
12.175,1.034
12.205,1.028
12.235,1.035
12.265,1.037
12.295,1.036
12.325,1.037
12.355,1.031
12.385,1.040
12.415,1.037
12.445,1.033
12.475,1.031
12.505,1.035
12.535,1.037
12.565,1.029
12.595,1.032
12.625,1.038
12.655,1.036
12.685,1.040
12.715,1.030
12.745,1.038
12.775,1.035
12.805,1.036
12.835,1.036
12.865,1.036
12.895,1.032
12.925,1.038
12.955,1.032
12.985,1.039
13.015,1.039
13.045,1.031
13.075,1.032
13.105,1.035
13.135,1.033
13.165,1.036
13.195,1.036
13.225,1.036
13.255,1.038
13.285,1.036
13.315,1.028
13.345,1.038
13.375,1.034
13.405,1.034
13.435,1.034
13.465,1.036
13.495,1.034
13.525,1.033
13.555,1.037
13.585,1.035
13.615,1.041
13.645,1.032
13.675,1.035
13.705,1.033
13.735,1.036
13.765,1.038
13.795,1.038
13.825,1.039
13.855,1.036
13.885,1.035
13.915,1.035
13.945,1.032
13.975,1.037
14.005,1.040
14.035,1.033
14.065,1.035
14.095,1.038
14.125,1.035
14.155,1.032
14.185,1.034
14.215,1.035
14.245,1.038
14.275,1.033
14.305,1.034
14.335,1.036
14.365,1.038
14.395,1.035
14.425,1.038
14.455,1.035
14.485,1.036
14.515,1.039
14.545,1.036
14.575,1.033
