df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,temperature
6.691,36.031
7.715,36.062
8.641,36.062
9.665,36.031
10.640,36.031
11.678,36.031
12.833,36.031
14.055,36.000
14.686,35.969
15.662,35.938
16.685,35.906
17.661,35.938
18.733,35.938
19.905,35.938
20.732,35.969
21.674,35.969
22.682,36.000
23.903,36.000
24.681,36.000
25.655,36.031
26.680,36.094
27.699,36.062
28.680,36.062
29.653,36.094
30.677,36.125
31.652,36.094
32.679,36.125
33.651,36.125
34.674,36.156
35.649,36.156
36.673,36.188
37.648,36.188
38.772,36.188
39.796,36.188
41.080,36.156
41.843,36.250
42.769,36.219
43.645,36.250
44.668,36.281
45.887,36.281
46.764,36.312
47.642,36.344
48.670,36.375
49.669,36.375
50.664,36.375
51.640,36.406
52.664,36.344
53.739,36.344
54.662,36.344
55.707,36.344
57.100,36.344
57.636,36.344
58.660,36.312
59.635,36.312
60.659,36.312
61.634,36.281
62.804,36.312
63.682,36.281
64.690,36.219
65.680,36.156
66.655,36.156
67.679,36.125
68.800,36.125
69.688,36.156
70.653,36.156
71.677,36.188
72.652,36.250
73.678,36.250
74.655,36.312
75.697,36.375
76.654,36.375
77.673,36.375
78.714,36.406
79.769,36.406
80.647,36.375
81.670,36.375
82.648,36.375
83.912,36.438
84.828,36.438
85.668,36.500
86.647,36.469
87.716,36.469
88.641,36.469
89.665,36.469
90.647,36.500
91.665,36.500
92.834,36.469
93.663,36.438
94.787,36.438
95.669,36.406
96.738,36.438
97.661,36.438
98.641,36.469
99.660,36.438
100.635,36.406
101.659,36.406
102.682,36.406
103.806,36.406
104.640,36.438
105.829,36.438
106.781,36.438
107.660,36.469
108.701,36.469
109.694,36.469
110.629,36.469
111.655,36.438
112.676,36.438
113.651,36.438
114.728,36.438
115.654,36.438
116.722,36.438
117.698,36.406
118.721,36.438
119.657,36.438
120.692,36.438
121.646,36.469
122.670,36.500
123.940,36.500
124.735,36.531
125.644,36.531
126.670,36.562
127.643,36.531
128.667,36.500
130.034,36.531
130.665,36.531
131.640,36.500
132.664,36.500
133.639,36.500
134.663,36.500
135.638,36.500
136.663,36.469
137.637,36.469
138.660,36.438
139.930,36.469
140.757,36.500
141.634,36.531
142.658,36.531
143.633,36.531
144.998,36.500
145.671,36.469
146.656,36.500
147.631,36.531
148.686,36.562
149.629,36.531
150.653,36.500
151.628,36.469
152.652,36.531
153.627,36.531
154.651,36.531
155.667,36.562
156.671,36.562
157.625,36.594
158.648,36.562
159.915,36.562
160.748,36.562
161.671,36.562
162.646,36.562
163.670,36.562
164.644,36.531
165.669,36.438
166.644,36.438
167.667,36.406
168.642,36.469
169.666,36.469
170.739,36.469
171.665,36.469
172.640,36.469
173.695,36.500
174.639,36.500
175.662,36.625
176.638,36.625
177.665,36.625
178.636,36.625
179.660,36.625
180.641,36.625
181.951,36.625
182.634,36.625
183.658,36.625
184.876,36.656
185.656,36.656
186.632,36.656
187.655,36.656
188.639,36.625
189.660,36.688
190.629,36.688
191.655,36.688
192.677,36.656
193.697,36.656
194.675,36.625
195.666,36.625
196.625,36.625
197.675,36.594
198.624,36.625
199.647,36.656
200.624,36.625
201.647,36.625
202.622,36.688
203.645,36.656
204.629,36.688
205.644,36.688
206.872,36.719
207.645,36.750
208.670,36.719
209.648,36.719
210.857,36.688
211.641,36.656
212.664,36.625
213.640,36.625
214.663,36.656
215.641,36.656
216.702,36.656
217.685,36.656
218.660,36.656
219.636,36.625
220.667,36.656
221.635,36.688
222.659,36.719
223.633,36.688
224.657,36.719
225.662,36.688
226.661,36.625
227.634,36.656
228.654,36.656
229.686,36.656
230.753,36.688
231.954,36.688
232.652,36.656
233.627,36.656
234.694,36.656
235.652,36.688
236.654,36.719
237.725,36.688
238.649,36.688
239.624,36.688
240.648,36.656
241.631,36.656
242.646,36.656
243.670,36.625
244.645,36.625
245.768,36.594
247.036,36.562
247.672,36.625
248.643,36.625
249.618,36.625
250.739,36.625
251.617,36.625
252.640,36.656
253.650,36.656
254.640,36.688
255.615,36.719
256.638,36.719
257.620,36.688
258.637,36.688
259.710,36.688
260.635,36.656
262.003,36.656
262.635,36.625
263.658,36.656
264.633,36.656
265.854,36.625
266.632,36.656
267.656,36.625
268.664,36.656
269.654,36.656
270.630,36.656
271.853,36.719
272.628,36.750
273.652,36.750
274.627,36.750
275.650,36.781
276.665,36.750
277.649,36.781
278.625,36.781
279.649,36.781
280.623,36.750
281.653,36.750
282.622,36.719
283.646,36.719
284.621,36.688
285.644,36.688
286.643,36.719
287.643,36.719
288.622,36.750
289.642,36.750
290.621,36.781
291.642,36.781
292.616,36.750
293.641,36.750
294.615,36.750
295.638,36.781
296.635,36.750
297.637,36.781
298.713,36.781
299.636,36.812
300.615,36.812
301.927,36.844
302.659,36.844
303.634,36.844
304.660,36.844
305.632,36.875
306.608,36.844
307.631,36.844
308.655,36.844
309.640,36.812
310.657,36.781
311.630,36.781
312.653,36.719
313.628,36.719
314.652,36.750
315.626,36.719
316.702,36.781
317.626,36.781
318.697,36.781
319.632,36.844
