df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,acc_mag
2.743,0.996
2.773,0.997
2.803,0.997
2.833,1.000
2.863,0.998
2.893,0.994
2.923,0.996
2.953,1.005
2.983,1.001
3.013,0.996
3.043,0.996
3.073,0.999
3.103,0.997
3.133,0.998
3.163,0.999
3.193,1.004
3.223,1.006
3.253,0.996
3.283,0.992
3.313,0.995
3.343,1.010
3.373,0.998
3.403,0.993
3.433,0.997
3.463,1.000
3.493,0.997
3.523,1.002
3.553,0.995
3.583,1.000
3.613,1.000
3.643,0.995
3.673,0.998
3.703,1.001
3.733,0.996
3.763,0.996
3.793,0.994
3.823,1.000
3.853,0.999
3.883,0.999
3.913,0.995
3.943,1.001
3.973,1.005
4.003,0.996
4.033,0.993
4.063,1.000
4.093,1.001
4.123,1.001
4.153,0.999
4.183,1.003
4.213,0.997
4.243,1.001
4.273,0.995
4.303,0.994
4.333,1.003
4.363,1.000
4.393,1.001
4.423,0.999
4.453,0.999
4.483,1.005
4.513,1.010
4.543,0.993
4.573,0.993
4.603,0.997
4.633,1.003
4.663,0.993
4.693,0.997
4.723,0.998
4.753,1.000
4.783,0.991
4.813,0.992
4.843,0.997
4.873,1.007
4.903,1.008
4.933,0.998
4.963,0.995
4.993,1.000
5.023,0.997
5.053,0.997
5.083,1.002
5.113,1.000
5.143,1.006
5.173,0.994
5.203,1.001
5.233,0.999
5.263,1.006
5.293,0.999
5.323,0.997
5.353,0.999
5.383,1.000
5.413,0.997
5.443,0.993
5.473,0.996
5.503,1.007
5.533,1.005
5.563,0.996
5.593,0.997
5.623,0.997
5.653,0.996
5.683,0.999
5.713,1.000
5.743,1.002
5.773,1.001
5.803,0.995
5.833,1.000
5.863,1.009
5.893,1.006
5.923,0.995
5.953,0.996
5.983,1.001
6.013,0.994
6.043,1.000
6.073,0.995
6.103,1.001
6.133,1.008
6.163,0.999
6.193,0.993
6.223,0.998
6.253,0.998
6.283,1.000
6.313,1.001
6.343,0.998
6.373,1.000
6.403,1.003
6.433,1.004
6.463,0.997
6.493,1.002
6.523,1.006
6.553,1.002
6.583,0.997
6.613,0.998
6.643,0.997
6.673,1.001
6.703,1.001
6.733,1.000
6.763,1.003
6.793,1.006
6.823,0.996
6.853,0.996
6.883,0.999
6.913,1.003
6.943,1.000
6.973,1.000
7.003,0.999
7.033,0.999
7.063,1.009
7.093,1.004
7.123,0.992
7.153,0.993
7.183,1.011
7.213,1.006
7.243,0.993
7.273,0.999
7.303,0.998
7.333,0.994
7.363,0.996
7.393,0.996
7.423,0.998
7.453,1.004
7.483,0.996
7.513,0.993
7.543,1.000
7.573,0.998
7.603,0.995
7.633,0.999
7.663,1.000
7.693,0.996
7.723,1.003
7.753,1.008
7.783,1.006
7.813,0.996
7.843,0.998
7.873,1.005
7.903,1.004
7.933,0.996
7.963,1.000
7.993,1.002
8.023,1.000
8.053,0.998
8.083,0.996
8.113,1.003
8.143,1.008
8.173,1.000
8.203,0.994
8.233,1.000
8.263,1.000
8.293,1.003
8.323,1.001
8.353,0.997
8.383,1.003
8.413,1.001
8.443,1.001
8.473,1.005
8.503,0.998
8.533,0.995
8.563,1.002
8.593,1.005
8.623,0.995
8.653,0.998
8.683,1.003
8.713,1.000
8.743,0.998
8.773,0.994
8.803,1.001
8.833,1.005
8.863,0.999
8.893,0.997
8.923,1.000
8.953,0.998
8.983,1.001
9.013,0.999
9.043,0.998
9.073,0.997
9.103,1.004
9.133,1.003
9.163,0.998
9.193,0.998
9.223,1.004
9.253,1.004
9.283,0.996
9.313,0.998
9.343,1.000
9.373,0.999
9.403,0.998
9.433,1.000
9.463,0.994
9.493,1.005
9.523,1.004
9.553,0.995
9.583,0.996
9.613,1.004
9.643,0.999
9.673,1.000
9.703,1.002
9.733,0.999
9.763,1.000
9.793,1.004
9.823,1.001
9.853,0.997
9.883,1.000
9.913,1.009
9.943,0.998
9.973,0.994
10.003,0.998
10.033,0.999
10.063,0.999
10.093,1.000
10.123,0.997
10.153,1.002
10.183,1.005
10.213,0.997
10.243,0.996
10.273,1.000
10.303,1.001
10.333,1.002
10.363,1.001
10.393,1.003
10.423,0.998
10.453,1.004
10.483,1.007
10.513,0.997
10.543,0.990
10.573,0.993
10.603,1.005
10.633,1.002
10.663,0.993
10.693,0.999
10.723,1.000
10.753,1.001
10.783,1.003
10.813,1.000
10.843,1.002
10.873,1.004
10.903,0.997
10.933,0.997
10.963,1.012
10.993,1.016
11.023,1.011
11.053,0.986
11.083,0.987
11.113,0.988
11.143,0.998
11.173,1.000
11.203,0.996
11.233,0.998
11.263,1.007
11.293,1.005
11.323,0.997
11.353,0.999
11.383,1.000
11.413,1.000
11.443,0.989
11.473,0.990
11.503,0.996
11.533,1.010
11.563,1.006
11.593,0.996
11.623,0.996
11.653,1.004
11.683,1.002
11.713,1.000
11.743,0.998
11.773,0.998
11.803,1.001
11.833,0.998
11.863,0.997
11.893,1.003
11.923,1.013
11.953,0.998
11.983,0.994
12.013,0.998
12.043,1.003
12.073,1.002
12.103,1.003
