df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,perfusion_ir
28.514,0.130
29.197,0.130
33.683,0.130
35.874,0.130
35.928,0.130
37.585,0.130
38.236,0.130
38.365,0.130
39.044,0.130
48.261,0.130
48.700,0.130
51.765,0.130
52.500,0.130
54.547,0.130
55.229,0.130
56.055,0.130
56.122,0.130
57.615,0.130
57.668,0.130
60.394,0.130
61.808,0.130
62.594,0.130
66.345,0.130
67.076,0.130
67.953,0.140
68.587,0.140
69.270,0.130
69.956,0.130
70.684,0.130
70.787,0.130
72.192,0.130
72.257,0.130
74.434,0.130
74.491,0.130
75.909,0.130
76.002,0.130
77.557,0.130
78.386,0.140
82.776,0.140
91.110,0.140
91.942,0.140
92.637,0.150
93.450,0.140
95.982,0.140
96.670,0.140
98.078,0.140
99.694,0.140
100.383,0.140
100.434,0.140
101.201,0.140
102.775,0.140
102.814,0.140
104.336,0.140
105.198,0.140
105.829,0.150
106.561,0.140
106.664,0.140
109.440,0.140
111.097,0.140
111.833,0.140
113.779,0.140
115.293,0.140
116.216,0.140
119.195,0.140
120.116,0.140
120.698,0.140
122.505,0.140
123.627,0.140
124.361,0.130
125.381,0.130
125.869,0.130
127.239,0.130
128.650,0.130
129.476,0.130
130.889,0.130
131.234,0.130
132.593,0.130
133.325,0.130
136.401,0.130
137.130,0.130
137.862,0.130
137.962,0.130
139.600,0.130
139.767,0.130
140.787,0.130
141.615,0.130
142.249,0.130
145.028,0.130
146.633,0.130
147.419,0.130
148.242,0.130
148.294,0.130
150.342,0.130
151.852,0.140
152.728,0.140
153.412,0.140
154.339,0.140
155.168,0.140
155.219,0.140
156.986,0.140
158.383,0.140
158.486,0.140
160.628,0.140
161.997,0.140
164.090,0.140
165.649,0.140
166.328,0.140
169.256,0.140
170.037,0.130
170.137,0.130
170.915,0.130
172.721,0.130
214.649,0.130
222.200,0.130
229.666,0.130
280.206,0.130
285.428,0.130
294.884,0.130
405.748,0.180
