df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,rr_int
6.775,6365
7.598,840
8.426,835
8.431,760
9.158,10
9.161,710
9.840,10
10.669,750
11.497,775
11.502,820
12.229,10
13.058,825
13.740,795
13.745,715
14.438,10
15.105,695
15.837,710
16.665,720
16.679,705
17.348,10
18.031,735
18.769,725
18.862,705
19.444,10
20.127,675
20.956,730
21.638,750
22.467,765
23.198,790
23.202,770
23.880,10
24.173,715
24.575,200
25.392,525
26.123,740
26.953,785
27.634,785
28.463,770
29.145,740
29.730,685
29.876,670
30.559,10
31.242,710
32.071,740
32.801,795
33.630,825
33.634,795
34.313,10
35.142,735
35.824,720
35.879,725
36.555,10
37.389,770
38.214,795
38.268,815
38.896,10
38.944,750
39.211,10
39.626,195
40.311,520
40.555,680
41.138,10
41.141,745
41.966,10
41.970,830
42.941,10
42.945,970
43.478,10
43.488,600
44.063,10
44.069,520
44.114,10
44.356,40
45.186,260
45.582,815
45.673,470
45.877,215
46.016,10
47.378,735
48.114,835
48.645,645
48.650,655
49.474,10
49.525,745
50.206,10
50.888,735
51.716,715
51.770,750
52.448,10
52.451,700
52.603,10
52.988,140
53.124,535
53.813,10
54.495,720
55.178,735
56.007,745
56.060,745
56.738,10
57.567,770
57.620,765
58.260,10
58.421,710
58.932,180
59.614,505
60.346,695
60.352,705
61.028,10
61.759,730
62.545,765
63.222,735
63.953,695
63.956,715
64.636,10
65.464,755
66.293,795
67.024,810
67.853,805
68.535,785
69.218,715
69.904,700
70.656,705
70.690,710
71.466,10
72.151,730
72.241,765
72.826,10
72.972,760
73.655,10
74.385,740
74.443,695
75.068,10
75.897,730
75.950,780
76.580,10
77.457,800
78.285,800
78.968,755
78.971,730
79.651,10
80.089,680
80.097,400
80.187,20
80.243,185
80.918,730
82.039,10
82.044,1135
82.722,10
82.725,565
84.233,20
84.236,1525
85.793,10
86.622,1655
87.012,770
87.163,510
87.307,15
88.285,295
88.721,835
88.962,10
88.966,750
89.645,10
90.425,675
91.058,720
91.061,715
91.887,10
91.893,740
92.569,10
92.575,770
93.398,10
93.402,790
94.182,10
94.958,735
95.787,800
96.616,805
96.622,805
97.299,10
98.029,765
98.087,695
98.720,10
99.541,735
100.371,770
100.421,795
101.101,10
101.104,815
101.881,10
102.759,815
102.808,760
103.441,10
104.319,755
104.952,765
105.781,760
106.512,775
106.565,785
107.194,10
107.198,690
107.877,10
108.706,710
109.389,730
109.392,725
110.120,10
110.948,790
111.826,785
112.314,760
112.606,680
113.045,180
113.727,500
113.731,695
114.409,10
115.238,710
115.242,755
116.018,10
116.021,780
116.798,10
117.627,800
118.332,755
119.144,775
119.967,795
120.650,805
121.479,805
122.210,790
122.453,715
122.896,215
123.090,480
123.575,10
123.582,700
124.309,10
124.354,715
124.988,10
125.134,725
125.817,10
125.831,755
126.500,10
127.182,745
127.186,700
127.913,10
128.596,680
128.599,710
129.308,10
129.425,705
130.108,10
130.838,750
130.944,785
131.668,10
132.496,810
133.178,780
133.330,705
133.861,190
133.864,540
134.707,10
134.710,755
135.421,10
136.250,785
137.079,810
137.764,820
137.922,735
138.444,10
139.272,710
139.614,735
140.058,10
140.691,750
141.515,760
142.197,775
142.934,730
143.611,685
144.147,660
144.976,655
144.986,720
145.707,10
146.536,775
147.369,850
148.193,840
148.247,835
148.300,10
148.488,10
149.023,215
149.607,500
150.290,675
150.293,705
151.120,10
151.801,725
152.630,770
153.361,785
154.190,790
154.876,790
155.173,745
155.755,210
156.237,480
156.971,660
157.706,690
158.334,715
158.401,745
159.163,10
159.893,770
160.576,750
160.820,710
161.261,200
161.944,460
161.990,655
162.624,10
163.355,680
164.037,700
164.042,720
164.724,10
165.549,755
166.280,780
166.333,720
166.962,10
166.965,700
167.648,10
168.474,740
169.205,740
169.887,755
170.055,750
170.716,10
170.862,700
171.252,175
171.984,495
172.671,690
173.349,675
174.863,650
175.347,1380
176.128,665
177.249,760
177.541,1195
177.544,295
177.836,10
177.854,260
177.860,10
178.614,715
178.617,10
178.907,30
178.910,280
178.913,20
178.958,10
179.101,20
179.199,305
180.710,755
182.124,720
182.129,1445
182.855,10
183.489,685
184.220,675
184.902,705
184.906,735
185.585,10
186.414,695
187.535,740
188.949,1235
188.952,1295
189.631,10
190.314,690
190.317,805
190.478,10
191.025,10
192.752,670
192.946,1520
193.288,680
194.311,950
194.756,10
196.164,605
197.821,1420
197.825,1575
198.114,15
198.406,290
199.235,280
199.625,850
200.454,445
201.576,825
202.014,1160
202.404,395
202.407,470
202.411,10
204.208,385
205.622,1320
207.133,1485
207.815,1545
208.546,635
208.551,675
209.082,10
209.526,645
209.692,580
211.325,865
212.008,765
212.983,755
213.666,850
214.502,795
215.226,760
216.103,800
216.109,735
216.742,10
218.250,780
218.254,1370
218.394,10
218.397,300
218.401,15
218.686,10
219.710,250
220.783,960
221.466,1155
222.153,635
222.733,720
223.269,610
223.272,565
223.952,10
224.538,660
225.219,600
225.901,610
226.734,780
227.324,725
228.004,665
228.731,675
229.511,710
230.192,765
230.776,775
232.288,460
