df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,quality
9.553,71
10.432,69
11.742,74
12.526,76
13.694,77
14.764,80
15.546,66
16.425,61
17.640,78
18.761,91
19.399,93
20.568,85
21.446,83
22.372,79
23.542,72
24.563,87
25.350,86
26.541,81
27.442,80
28.319,79
29.587,87
30.418,75
31.293,69
32.518,74
33.390,63
34.267,59
35.494,76
36.363,75
37.290,71
38.460,79
39.340,74
40.269,84
41.437,76
42.408,68
43.238,49
44.407,44
45.574,55
46.211,57
47.433,49
48.308,61
49.185,43
50.404,49
51.284,57
52.160,60
53.385,66
54.256,75
55.132,81
56.354,82
57.231,86
58.156,90
59.325,87
60.202,76
61.129,76
62.539,79
63.176,79
64.349,85
65.273,85
66.199,78
67.371,72
68.246,72
69.173,93
70.342,78
71.460,65
72.146,73
73.269,82
74.245,82
75.122,86
76.192,83
77.219,79
78.094,76
79.125,90
80.235,84
81.070,40
81.994,37
83.557,31
84.041,40
85.001,20
86.138,31
87.158,40
87.941,49
89.403,50
90.086,64
90.964,51
92.328,50
93.011,75
93.889,77
95.059,82
96.082,85
96.865,85
98.185,86
99.008,83
100.085,75
101.056,78
102.184,74
102.913,73
104.126,86
104.906,82
105.930,86
107.002,91
108.172,99
108.855,83
110.002,79
110.854,79
111.780,80
112.950,83
114.022,74
115.046,63
115.973,75
116.913,73
118.020,69
119.138,81
119.824,84
120.748,88
121.920,87
122.892,94
123.724,78
124.845,64
125.772,73
126.649,82
127.868,89
129.050,89
129.623,78
130.940,82
131.721,78
132.740,68
133.815,81
134.701,78
135.570,80
136.795,78
137.666,75
138.590,86
140.014,77
140.686,75
141.762,82
142.929,88
143.760,88
144.541,67
145.756,68
146.685,68
147.514,41
148.684,44
149.811,68
150.682,66
151.707,49
152.598,64
153.464,70
154.632,77
155.750,90
156.533,78
157.655,61
158.532,67
159.411,75
160.734,79
161.506,84
162.383,76
163.602,64
164.481,74
165.359,75
166.719,71
167.453,82
168.379,84
169.550,85
170.427,87
171.645,89
172.666,66
173.498,37
174.340,33
175.505,32
176.376,39
177.300,34
178.471,27
179.689,0
180.275,0
181.490,26
182.372,22
183.248,31
184.466,50
185.365,49
186.242,53
187.441,52
188.320,39
189.218,37
190.417,53
191.294,37
192.560,31
193.391,55
194.364,66
195.195,63
196.363,0
197.240,1
198.215,0
199.336,0
200.262,0
201.146,0
202.310,0
203.245,14
204.113,0
205.284,0
206.210,10
207.087,15
208.257,8
209.184,0
210.207,0
211.281,2
212.171,27
213.034,52
214.497,49
215.131,61
216.015,75
217.273,74
218.105,52
219.010,34
220.201,28
221.079,0
222.148,0
223.175,27
224.052,23
225.002,39
226.149,38
227.319,46
227.998,43
229.168,53
230.097,61
230.926,43
232.096,49
233.113,53
234.092,54
235.119,48
236.191,49
237.068,36
238.089,23
239.116,0
239.847,29
241.066,0
241.943,0
242.824,0
244.044,0
244.917,0
245.795,0
247.014,0
247.941,0
248.769,28
249.988,22
250.866,0
251.791,27
253.007,26
253.888,28
254.765,45
255.963,31
256.812,0
257.791,7
259.299,20
259.836,53
260.712,0
262.175,0
262.809,29
263.688,44
265.003,36
265.795,0
266.660,0
267.882,0
268.850,39
269.634,38
270.852,31
272.022,30
272.750,0
273.828,0
274.996,0
275.581,2
277.192,20
277.723,12
278.606,0
280.112,0
280.697,24
281.590,30
283.040,0
283.642,31
284.552,37
285.964,33
286.599,0
287.574,0
288.695,0
289.716,0
290.501,2
291.722,14
292.598,0
293.475,0
294.740,0
295.628,32
296.447,25
297.714,38
298.545,45
299.422,34
300.639,24
301.662,35
302.394,0
303.612,0
304.490,0
305.368,0
306.587,25
307.512,24
308.391,41
309.561,31
310.465,34
311.410,0
312.680,0
313.418,0
314.484,28
315.508,26
316.434,39
317.312,47
318.507,28
319.409,28
320.288,29
321.456,0
322.382,2
323.259,11
324.478,19
325.358,21
326.234,0
327.595,4
328.329,0
329.498,0
330.426,0
331.303,25
332.231,0
333.399,0
334.278,0
335.206,30
336.373,27
337.323,28
338.227,24
339.347,22
340.273,23
341.151,23
342.320,0
343.247,23
344.128,31
345.730,0
346.465,0
347.103,42
348.658,34
349.195,35
350.122,37
351.336,0
352.217,9
353.338,8
354.267,11
355.144,41
356.070,37
357.239,41
358.187,52
359.044,0
360.214,36
361.181,0
362.016,0
363.283,0
364.089,0
364.990,0
366.160,0
367.086,34
367.963,24
369.231,25
370.060,28
370.942,36
372.156,57
373.035,14
373.913,5
375.130,0
376.013,0
376.929,0
378.105,32
379.130,24
379.858,36
381.077,40
381.957,28
383.172,29
384.053,53
384.930,55
385.900,29
387.024,30
387.952,34
389.023,52
389.998,62
390.925,57
391.802,55
392.973,52
393.901,51
394.776,48
395.996,45
396.875,53
397.751,58
398.971,27
399.991,25
400.818,22
401.966,23
402.914,22
403.745,27
404.918,25
405.941,64
406.771,67
407.890,71
408.771,65
409.695,50
411.107,26
411.741,30
412.667,33
413.838,36
414.743,40
415.691,44
416.817,24
418.130,20
418.616,24
419.835,46
420.713,28
421.589,0
422.857,4
423.733,3
424.562,2
426.073,6
426.658,12
427.536,0
428.898,0
429.632,46
430.512,54
431.728,37
432.654,13
433.630,29
434.994,46
435.724,20
