df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,acc_mag
-0.599,1.024
-0.569,1.021
-0.539,1.025
-0.509,1.022
-0.479,1.020
-0.449,1.023
-0.419,1.024
-0.389,1.021
-0.359,1.019
-0.329,1.022
-0.299,1.026
-0.269,1.026
-0.239,1.021
-0.209,1.027
-0.179,1.022
-0.149,1.021
-0.119,1.021
-0.089,1.023
-0.059,1.026
-0.029,1.026
0.001,1.019
0.031,1.021
0.061,1.023
0.091,1.025
0.121,1.023
0.151,1.018
0.181,1.021
0.211,1.022
0.241,1.024
0.271,1.023
0.301,1.022
0.331,1.021
0.361,1.021
0.391,1.024
0.421,1.023
0.451,1.020
0.481,1.022
0.511,1.024
0.541,1.022
0.571,1.024
0.601,1.025
0.631,1.027
0.661,1.019
0.691,1.022
0.721,1.024
0.751,1.021
0.781,1.024
0.811,1.027
0.841,1.026
0.871,1.020
0.901,1.025
0.931,1.027
0.961,1.022
0.991,1.020
1.021,1.018
1.051,1.023
1.081,1.025
1.111,1.023
1.141,1.021
1.171,1.021
1.201,1.022
1.231,1.024
1.261,1.025
1.291,1.023
1.321,1.022
1.351,1.022
1.381,1.028
1.411,1.024
1.441,1.019
1.471,1.028
1.501,1.024
1.531,1.018
1.561,1.020
1.591,1.023
1.621,1.024
1.651,1.024
1.681,1.026
1.711,1.017
1.741,1.021
1.771,1.024
1.801,1.021
1.831,1.020
1.861,1.023
1.891,1.025
1.921,1.023
1.951,1.023
1.981,1.022
2.011,1.021
2.041,1.022
2.071,1.022
2.101,1.022
2.131,1.021
2.161,1.021
2.191,1.031
2.221,1.025
2.251,1.021
2.281,1.022
2.311,1.027
2.341,1.024
2.371,1.018
2.401,1.024
2.431,1.023
2.461,1.027
2.491,1.021
2.521,1.021
2.551,1.021
2.581,1.026
2.611,1.022
2.641,1.019
2.671,1.021
2.701,1.027
2.731,1.021
2.761,1.021
2.791,1.022
2.821,1.021
2.851,1.021
2.881,1.023
2.911,1.023
2.941,1.021
2.971,1.023
3.001,1.023
3.031,1.021
3.061,1.025
3.091,1.028
3.121,1.023
3.151,1.015
3.181,1.021
3.211,1.024
3.241,1.023
3.271,1.024
3.301,1.022
3.331,1.019
3.361,1.025
3.391,1.024
3.421,1.020
3.451,1.021
3.481,1.025
3.511,1.026
3.541,1.025
3.571,1.022
3.601,1.024
3.631,1.021
3.661,1.025
3.691,1.023
3.721,1.023
3.751,1.028
3.781,1.021
3.811,1.021
3.841,1.025
3.871,1.028
3.901,1.021
3.931,1.019
3.961,1.021
3.991,1.023
4.021,1.023
4.051,1.025
4.081,1.024
4.111,1.016
4.141,1.027
4.171,1.025
4.201,1.021
4.231,1.021
4.261,1.021
4.291,1.026
4.321,1.024
4.351,1.021
4.381,1.021
4.411,1.022
4.441,1.024
4.471,1.025
4.501,1.025
4.531,1.022
4.561,1.027
4.591,1.021
4.621,1.019
4.651,1.029
4.681,1.024
4.711,1.021
4.741,1.019
4.771,1.022
4.801,1.027
4.831,1.029
4.861,1.022
4.891,1.020
4.921,1.020
4.951,1.023
4.981,1.025
5.011,1.021
5.041,1.023
5.071,1.023
5.101,1.024
5.131,1.025
5.161,1.021
5.191,1.019
5.221,1.023
5.251,1.024
5.281,1.022
5.311,1.022
5.341,1.021
5.371,1.030
5.401,1.026
5.431,1.024
5.461,1.022
5.491,1.028
5.521,1.023
5.551,1.023
5.581,1.018
5.611,1.021
5.641,1.027
5.671,1.027
5.701,1.028
5.731,1.019
5.761,1.021
5.791,1.024
5.821,1.023
5.851,1.021
5.881,1.023
5.911,1.026
5.941,1.027
5.971,1.023
6.001,1.025
6.031,1.021
6.061,1.024
6.091,1.024
6.121,1.024
6.151,1.023
6.181,1.021
6.211,1.025
6.241,1.029
6.271,1.026
6.301,1.016
6.331,1.027
6.361,1.027
6.391,1.022
6.421,1.021
6.451,1.022
6.481,1.024
6.511,1.027
6.541,1.032
6.571,1.019
6.601,1.023
6.631,1.026
6.661,1.022
6.691,1.021
6.721,1.022
6.751,1.022
6.781,1.023
6.811,1.023
6.841,1.027
6.871,1.020
6.901,1.023
6.931,1.024
6.961,1.021
6.991,1.021
7.021,1.022
7.051,1.024
7.081,1.024
7.111,1.022
7.141,1.023
7.171,1.028
7.201,1.028
7.231,1.020
7.261,1.024
7.291,1.027
7.321,1.029
7.351,1.019
7.381,1.021
7.411,1.022
7.441,1.030
7.471,1.024
7.501,1.021
7.531,1.023
7.561,1.023
7.591,1.026
7.621,1.025
7.651,1.026
7.681,1.019
7.711,1.027
7.741,1.024
7.771,1.025
7.801,1.020
7.831,1.021
7.861,1.021
7.891,1.026
7.921,1.027
7.951,1.024
7.981,1.019
8.011,1.021
8.041,1.023
8.071,1.028
8.101,1.026
8.131,1.022
8.161,1.026
8.191,1.022
8.221,1.025
8.251,1.021
8.281,1.021
8.311,1.023
8.341,1.024
8.371,1.024
8.401,1.025
8.431,1.022
8.461,1.026
8.491,1.025
8.521,1.021
8.551,1.027
8.581,1.021
8.611,1.021
8.641,1.025
8.671,1.028
8.701,1.022
