df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,battery
7.647,82
17.648,82
27.734,82
37.643,82
47.622,82
57.675,82
67.658,82
77.652,82
87.648,82
97.640,82
107.634,82
117.725,82
127.721,82
137.615,82
147.609,82
157.703,82
167.645,82
177.639,82
187.633,82
197.627,82
207.621,82
217.614,82
227.608,82
237.651,82
247.619,82
257.638,82
267.730,82
277.626,82
287.620,81
297.613,81
307.608,81
317.699,81
327.600,81
337.689,81
347.729,81
357.625,81
367.619,81
377.807,81
387.630,81
397.601,81
407.692,81
417.637,81
427.582,81
