df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,ppg_quality
52.486,44
53.496,40
55.516,46
57.536,59
59.556,65
61.576,70
63.596,69
64.606,69
65.616,70
66.626,71
68.646,71
70.666,74
72.686,74
74.706,73
75.716,73
76.726,74
78.746,74
79.756,74
81.776,70
83.796,69
85.816,74
86.826,72
87.836,63
88.846,54
90.866,53
92.886,56
94.906,54
96.926,55
98.946,71
99.956,75
101.976,77
103.996,78
106.016,76
108.036,76
109.046,74
110.056,73
111.066,74
113.086,75
115.106,73
117.126,74
119.146,76
121.166,77
122.176,76
123.186,76
124.196,76
126.216,78
128.236,76
130.256,77
132.276,77
134.296,77
135.306,75
137.326,74
139.346,77
141.366,77
143.386,77
146.416,78
148.436,78
150.456,79
152.476,78
153.486,78
154.496,78
155.506,79
157.526,77
159.546,76
161.566,76
163.586,73
165.606,71
166.616,71
167.626,72
168.636,74
170.656,74
172.676,73
174.696,82
176.716,79
177.726,70
178.736,60
179.746,54
180.756,45
181.766,38
183.786,27
185.806,22
186.816,25
187.826,32
189.846,54
190.856,63
192.876,63
194.896,52
196.916,44
198.936,40
199.946,38
201.966,43
203.986,69
206.006,81
208.026,86
209.036,77
210.046,68
211.056,65
212.066,55
213.076,40
214.086,27
215.096,29
217.116,23
219.136,46
221.156,65
223.176,69
224.186,73
225.196,76
226.206,81
228.226,90
230.246,86
232.266,72
234.286,75
235.296,66
237.316,42
239.336,30
241.356,2
243.376,2
245.396,8
247.416,10
250.446,35
252.466,44
254.486,45
255.496,31
258.526,33
259.536,22
276.706,20
278.726,34
279.736,42
280.746,38
282.766,30
283.776,15
284.786,16
285.796,10
287.816,15
289.836,28
291.856,18
292.866,19
293.876,27
294.886,29
296.906,21
301.956,13
303.976,17
304.986,13
305.996,13
308.016,17
310.036,31
312.056,25
313.066,24
314.076,23
315.086,23
316.096,27
318.116,42
319.126,41
321.146,49
323.166,39
325.186,35
326.196,26
328.216,25
330.236,36
332.256,35
333.266,43
334.276,55
336.296,70
337.306,72
338.316,66
341.346,59
343.366,60
345.386,41
346.396,36
347.406,43
348.416,39
349.426,54
351.446,63
352.456,61
353.466,47
354.476,41
356.496,41
357.506,36
358.516,37
360.536,17
362.556,6
363.566,9
365.586,17
367.606,38
369.626,39
371.646,24
372.656,34
373.666,48
374.676,62
375.686,63
376.696,44
378.716,54
380.736,57
382.746,53
384.766,42
386.786,46
387.796,42
388.806,35
389.816,38
390.826,33
391.836,31
392.846,24
394.866,17
395.876,14
396.886,21
397.896,31
398.906,44
400.926,73
402.946,84
403.956,72
405.976,68
406.986,68
410.016,55
412.036,39
414.056,46
416.076,51
418.096,55
419.106,59
420.116,56
421.126,65
423.146,79
425.166,90
427.186,92
428.196,95
429.206,92
430.216,96
432.236,90
434.256,83
435.266,86
436.276,78
