df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,temperature
-0.196,32.875
0.773,32.875
1.749,32.906
2.797,32.875
3.747,32.906
4.770,32.906
5.745,32.938
6.770,32.906
7.744,32.938
8.768,32.938
9.748,32.938
10.779,32.969
11.746,32.969
12.765,33.062
13.814,33.094
14.771,33.094
15.740,33.094
16.763,33.156
17.738,33.188
18.867,33.219
19.737,33.219
20.761,33.250
21.735,33.219
22.760,33.219
23.734,33.188
25.150,33.219
25.735,33.250
26.757,33.250
28.075,33.281
28.755,33.281
29.735,33.312
30.829,33.312
31.731,33.375
32.753,33.375
33.770,33.406
34.801,33.438
35.727,33.438
36.751,33.469
37.726,33.469
38.749,33.500
39.773,33.531
40.748,33.562
41.723,33.531
42.747,33.531
43.772,33.562
44.746,33.594
45.866,33.562
46.744,33.562
47.768,33.531
48.778,33.531
49.767,33.531
50.744,33.562
52.012,33.594
52.984,33.625
53.764,33.656
54.764,33.688
55.763,33.688
56.936,33.719
57.762,33.750
58.737,33.750
59.761,33.750
60.735,33.750
61.813,33.719
62.735,33.719
63.758,33.688
64.733,33.688
65.758,33.750
66.732,33.750
67.756,33.750
68.731,33.844
69.755,33.812
70.927,33.844
71.860,33.875
72.728,33.906
73.752,33.938
74.827,33.938
75.750,33.906
76.726,33.906
77.750,33.875
78.725,33.875
79.748,33.906
80.723,33.906
81.796,33.906
82.956,33.875
83.745,33.844
84.721,33.875
85.745,33.875
86.771,33.906
87.743,33.938
88.818,33.906
89.744,33.969
90.717,33.969
91.741,33.938
92.765,33.906
93.808,34.000
94.763,34.000
95.739,34.000
96.762,34.000
97.737,33.969
98.816,34.031
99.737,34.031
100.763,34.094
101.735,34.125
102.906,34.156
104.026,34.156
104.757,34.156
105.732,34.188
106.756,34.188
107.731,34.219
108.755,34.188
109.730,34.219
110.754,34.219
111.729,34.250
112.752,34.281
113.824,34.250
115.051,34.250
115.726,34.219
116.750,34.219
118.025,34.250
118.894,34.250
119.724,34.219
120.753,34.188
121.723,34.156
122.782,34.125
123.729,34.188
124.782,34.219
125.720,34.250
126.744,34.250
127.729,34.219
129.041,34.219
129.762,34.250
130.741,34.281
131.914,34.281
132.744,34.281
133.743,34.281
134.739,34.281
135.714,34.281
136.738,34.281
137.761,34.281
138.736,34.344
140.003,34.312
140.792,34.312
141.766,34.344
142.733,34.375
143.765,34.375
144.733,34.375
145.761,34.281
146.733,34.281
147.755,34.375
148.730,34.375
149.820,34.375
150.729,34.344
151.753,34.406
152.736,34.406
153.751,34.406
154.872,34.406
155.758,34.500
156.725,34.531
157.749,34.500
158.724,34.500
159.748,34.469
160.740,34.500
161.746,34.469
162.730,34.469
163.748,34.469
164.721,34.500
165.744,34.531
166.723,34.531
167.742,34.531
168.720,34.531
169.741,34.594
170.720,34.594
171.742,34.562
173.059,34.594
173.782,34.594
174.717,34.625
175.739,34.594
177.105,34.594
177.737,34.625
178.712,34.625
179.735,34.594
181.151,34.625
181.734,34.625
182.722,34.656
183.736,34.625
184.708,34.562
185.732,34.562
187.001,34.562
187.730,34.562
188.705,34.562
189.729,34.562
190.752,34.594
191.728,34.594
192.792,34.562
193.727,34.562
194.750,34.562
195.751,34.531
196.750,34.562
197.728,34.562
198.748,34.594
199.723,34.625
200.831,34.562
201.746,34.531
202.745,34.531
203.769,34.562
204.744,34.594
205.719,34.625
206.743,34.625
207.767,34.625
208.742,34.625
209.717,34.594
210.741,34.625
211.716,34.625
212.739,34.656
213.714,34.625
214.738,34.656
215.734,34.656
216.736,34.688
217.817,34.656
218.736,34.656
219.713,34.688
220.734,34.688
221.709,34.719
222.882,34.719
223.708,34.688
224.732,34.656
225.707,34.656
226.730,34.656
227.706,34.719
228.829,34.719
229.996,34.656
230.728,34.656
231.705,34.625
233.019,34.625
233.897,34.656
234.726,34.656
235.896,34.688
236.870,34.656
237.699,34.625
238.970,34.625
239.747,34.656
240.721,34.625
241.746,34.656
242.720,34.688
243.744,34.688
244.720,34.688
245.744,34.719
246.791,34.719
247.742,34.719
248.717,34.750
249.741,34.781
250.716,34.812
251.740,34.812
252.714,34.812
253.787,34.844
254.713,34.844
255.786,34.812
256.712,34.844
257.735,34.875
258.711,34.875
259.735,34.844
260.953,34.875
261.786,34.875
262.708,34.875
263.732,34.875
264.853,34.875
265.731,34.875
266.706,34.844
267.736,34.875
268.705,34.875
269.728,34.906
270.703,34.875
271.727,34.875
272.759,34.875
273.726,34.844
275.010,34.875
275.725,34.875
276.752,34.906
277.728,34.938
278.733,34.938
279.745,34.906
280.703,34.969
281.770,34.938
282.793,34.969
283.719,35.000
284.695,35.000
285.767,35.031
286.742,35.000
287.720,35.000
288.938,34.969
289.723,34.969
290.740,34.875
291.814,34.875
292.739,34.906
293.714,34.906
294.786,34.906
295.761,34.906
296.738,34.906
297.719,34.906
298.734,34.969
299.709,35.000
300.734,35.062
301.709,35.062
302.732,35.031
303.707,35.000
304.731,35.062
305.852,35.031
306.730,35.031
307.706,35.062
308.751,35.062
309.704,35.094
310.741,35.094
311.702,35.094
