df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,heart_rate
9.548,76
10.425,76
11.666,78
12.521,78
13.401,78
14.641,77
15.499,78
16.421,81
17.595,83
18.510,84
19.395,84
20.565,84
21.442,84
22.369,84
23.539,83
24.489,82
25.343,82
26.536,81
27.439,81
28.316,81
29.570,80
30.413,80
31.290,81
32.510,81
33.386,81
34.264,81
35.483,80
36.360,79
37.286,79
38.456,79
39.334,79
40.261,78
41.430,79
42.314,79
43.234,78
44.404,78
45.354,77
46.208,77
47.427,77
48.304,78
49.182,77
50.400,79
51.278,80
52.155,81
53.377,81
54.252,81
55.129,82
56.348,82
57.225,82
58.152,82
59.322,81
60.199,81
61.125,82
62.321,82
63.173,82
64.345,82
65.269,82
66.195,82
67.368,81
68.243,81
69.169,79
70.048,79
71.220,80
72.143,80
73.023,81
74.239,81
75.117,81
76.018,81
77.213,81
78.090,81
79.119,80
80.192,79
81.064,79
81.990,79
83.554,79
84.038,79
84.999,79
86.134,79
87.015,78
87.938,78
89.135,77
89.988,76
90.961,77
92.116,77
93.008,79
93.886,79
95.056,79
95.992,78
96.859,78
98.178,77
98.960,77
99.837,78
101.052,78
102.177,78
102.909,78
104.028,77
104.903,77
105.833,77
106.999,77
107.888,78
108.806,78
110.000,79
110.851,79
111.777,80
112.947,80
113.827,80
114.754,81
115.970,81
116.805,82
117.728,81
118.905,81
119.821,80
120.703,79
121.917,78
122.815,78
123.701,78
124.842,79
125.768,80
126.646,80
127.864,81
129.047,81
129.620,82
130.936,82
131.716,82
132.598,81
133.812,81
134.692,80
135.567,80
136.788,80
137.663,80
138.541,79
140.009,79
140.659,79
141.759,79
142.737,80
143.614,80
144.537,81
145.710,82
146.639,82
147.511,81
148.681,81
149.804,79
150.505,78
151.703,79
152.582,79
153.458,80
154.628,80
155.558,80
156.434,80
157.651,80
158.529,81
159.406,82
160.723,82
161.502,82
162.380,82
163.599,83
164.476,84
165.354,85
166.580,84
167.450,84
168.376,83
169.546,83
170.424,82
171.352,82
172.521,82
173.416,82
174.324,82
175.494,82
176.371,82
177.297,82
178.467,82
179.430,82
180.271,82
181.441,80
182.367,81
183.245,81
184.417,83
185.341,83
186.219,84
187.437,84
188.315,85
189.215,84
190.411,87
191.289,85
192.217,85
193.385,84
194.316,83
195.189,83
196.359,83
197.236,83
198.211,83
199.333,83
200.259,83
201.137,83
202.306,83
203.235,83
204.110,83
205.280,83
206.206,83
207.084,83
208.254,83
209.180,83
210.060,83
211.276,83
212.154,85
213.031,84
214.494,83
215.128,82
216.005,81
217.267,80
218.101,79
219.007,79
220.198,79
221.075,79
222.013,79
223.171,79
224.049,79
224.999,84
226.145,86
227.315,88
227.960,88
229.119,88
230.000,88
230.923,87
232.093,87
233.107,87
233.901,87
235.115,87
235.995,87
236.874,87
238.044,87
238.974,87
239.844,87
241.063,87
241.940,87
242.818,87
244.037,87
244.914,87
245.792,87
247.010,87
247.937,87
248.765,87
249.984,87
250.862,87
251.788,87
252.961,80
253.884,84
254.762,86
255.959,79
256.809,82
257.742,81
258.907,81
259.832,72
260.709,77
261.905,75
262.805,75
263.683,75
264.856,76
265.779,75
266.657,75
267.875,75
268.810,75
269.630,75
270.849,75
271.730,75
272.614,75
273.823,75
274.711,75
275.578,75
277.187,75
277.680,75
278.600,75
279.773,75
280.652,79
281.574,80
282.807,78
283.622,76
284.548,75
285.772,73
286.595,74
287.571,74
288.692,74
289.638,73
290.496,73
291.666,73
292.592,73
293.469,73
294.642,73
295.625,73
296.443,79
297.711,86
298.539,86
299.417,88
300.636,86
301.515,87
302.391,86
303.609,86
304.487,86
305.364,86
306.583,86
307.465,86
308.387,86
309.557,86
310.461,86
311.363,86
312.533,86
313.408,86
314.338,82
315.504,85
316.431,83
317.308,85
318.501,83
319.405,84
320.282,83
321.452,83
322.378,83
323.256,83
324.475,83
325.352,83
326.230,83
327.450,83
328.326,83
329.227,83
330.422,83
331.300,83
332.226,83
333.396,83
334.273,83
335.200,83
336.370,81
337.319,78
338.222,80
339.343,79
340.270,79
341.147,79
342.317,79
343.243,79
344.121,73
345.346,76
346.219,76
347.095,80
348.316,68
349.192,62
350.117,58
351.296,62
352.214,62
353.077,61
354.261,60
355.139,60
356.065,60
357.235,60
358.182,74
359.039,68
360.209,66
361.174,66
362.012,67
363.185,66
364.086,66
364.986,66
366.156,66
367.082,64
367.960,64
369.227,60
370.056,57
370.934,55
372.152,53
373.030,54
373.907,54
375.127,54
376.004,53
376.919,53
378.100,53
379.126,53
379.855,53
381.074,53
381.951,53
382.899,53
384.048,74
384.925,84
385.851,75
387.021,73
387.948,75
388.855,75
389.995,75
390.921,75
391.799,76
392.969,76
393.895,76
394.773,76
395.991,76
396.869,77
397.746,78
398.965,77
399.896,77
400.774,77
401.963,77
402.818,77
403.697,77
404.913,77
405.796,79
406.766,80
407.886,81
408.764,81
409.690,82
410.874,81
411.738,81
412.664,81
413.834,79
414.739,78
415.686,77
416.808,77
418.126,77
418.611,77
419.830,80
420.708,78
421.585,78
422.854,78
423.685,78
424.559,78
425.784,78
426.655,78
427.533,78
428.755,78
429.629,78
430.507,70
431.725,73
432.606,73
433.485,64
434.701,57
435.578,61
