df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,spo2
28.466,98
29.149,98
33.679,98
35.828,98
35.924,98
37.582,98
38.227,98
38.362,98
38.950,98
48.258,97
48.694,97
51.720,97
52.496,97
54.499,97
55.182,97
56.010,97
56.107,97
57.574,97
57.664,97
60.363,97
61.762,97
62.591,97
66.296,97
67.028,97
67.856,97
68.539,97
69.222,97
69.952,97
70.680,97
70.781,97
72.154,97
72.253,97
74.391,97
74.486,97
75.904,97
75.994,97
77.464,97
78.289,97
82.772,97
91.107,97
91.935,97
92.622,97
93.447,97
95.793,97
96.665,97
98.036,97
99.547,98
100.378,98
100.428,98
101.107,98
102.769,98
102.811,98
104.322,98
104.955,98
105.784,98
106.515,98
106.661,98
109.437,98
110.951,98
111.830,98
113.776,98
115.289,98
116.024,98
119.192,98
119.971,98
120.653,98
122.457,98
123.623,98
124.358,98
125.138,98
125.866,98
127.231,98
128.647,98
129.428,98
130.842,98
131.231,98
132.500,98
133.182,98
136.253,98
137.083,98
137.858,98
137.926,98
139.277,98
139.762,98
140.784,98
141.518,98
142.204,98
145.025,98
146.541,98
147.416,98
148.197,98
148.291,98
150.338,98
151.805,98
152.633,98
153.367,98
154.195,98
155.165,98
155.216,98
156.974,98
158.337,98
158.483,98
160.581,98
161.994,98
164.086,98
165.552,98
166.284,98
169.208,98
169.891,98
170.134,98
170.911,98
172.718,98
214.645,98
222.197,98
229.660,98
280.197,98
285.285,98
294.839,98
405.741,93
