df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,acc_mag
5.196,1.017
5.226,1.021
5.256,1.018
5.286,1.023
5.316,1.021
5.346,1.019
5.376,1.021
5.406,1.023
5.436,1.023
5.466,1.023
5.496,1.023
5.526,1.023
5.556,1.021
5.586,1.024
5.616,1.017
5.646,1.019
5.676,1.023
5.706,1.023
5.736,1.024
5.766,1.021
5.796,1.023
5.826,1.021
5.856,1.022
5.886,1.020
5.916,1.022
5.946,1.021
5.976,1.024
6.006,1.023
6.036,1.019
6.066,1.021
6.096,1.023
6.126,1.022
6.156,1.021
6.186,1.021
6.216,1.012
6.246,1.025
6.276,1.028
6.306,1.021
6.336,1.016
6.366,1.026
6.396,1.022
6.426,1.023
6.456,1.026
6.486,1.022
6.516,1.020
6.546,1.023
6.576,1.023
6.606,1.019
6.636,1.021
6.666,1.026
6.696,1.018
6.726,1.021
6.756,1.025
6.786,1.016
6.816,1.021
6.846,1.025
6.876,1.022
6.906,1.018
6.936,1.023
6.966,1.023
6.996,1.022
7.026,1.023
7.056,1.022
7.086,1.021
7.116,1.021
7.146,1.023
7.176,1.021
7.206,1.019
7.236,1.021
7.266,1.023
7.296,1.026
7.326,1.026
7.356,1.023
7.386,1.023
7.416,1.022
7.446,1.020
7.476,1.019
7.506,1.020
7.536,1.022
7.566,1.023
7.596,1.021
7.626,1.021
7.656,1.018
7.686,1.021
7.716,1.018
7.746,1.024
7.776,1.025
7.806,1.023
7.836,1.019
7.866,1.025
7.896,1.021
7.926,1.021
7.956,1.025
7.986,1.021
8.016,1.019
8.046,1.025
8.076,1.022
8.106,1.021
8.136,1.019
8.166,1.024
8.196,1.023
8.226,1.024
8.256,1.024
8.286,1.021
8.316,1.024
8.346,1.021
8.376,1.021
8.406,1.021
8.436,1.019
8.466,1.021
8.496,1.021
8.526,1.023
8.556,1.022
8.586,1.021
8.616,1.017
8.646,1.019
8.676,1.021
8.706,1.024
8.736,1.024
8.766,1.023
8.796,1.021
8.826,1.024
8.856,1.023
8.886,1.022
8.916,1.024
8.946,1.021
8.976,1.013
9.006,1.027
9.036,1.021
9.066,1.023
9.096,1.021
9.126,1.023
9.156,1.024
9.186,1.022
9.216,1.025
9.246,1.021
9.276,1.022
9.306,1.025
9.336,1.024
9.366,1.021
9.396,1.021
9.426,1.020
9.456,1.024
9.486,1.023
9.516,1.021
9.546,1.021
9.576,1.020
9.606,1.020
9.636,1.022
9.666,1.023
9.696,1.025
9.726,1.018
9.756,1.021
9.786,1.021
9.816,1.021
9.846,1.021
9.876,1.024
9.906,1.028
9.936,1.020
9.966,1.026
9.996,1.022
10.026,1.018
10.056,1.023
10.086,1.026
10.116,1.023
10.146,1.021
10.176,1.021
10.206,1.021
10.236,1.021
10.266,1.019
10.296,1.022
10.326,1.022
10.356,1.021
10.386,1.021
10.416,1.021
10.446,1.022
10.476,1.024
10.506,1.020
10.536,1.016
10.566,1.022
10.596,1.020
10.626,1.025
10.656,1.028
10.686,1.023
10.716,1.022
10.746,1.025
10.776,1.017
10.806,1.022
10.836,1.030
10.866,1.013
10.896,1.025
10.926,1.025
10.956,1.017
10.986,1.021
11.016,1.024
11.046,1.025
11.076,1.024
11.106,1.024
11.136,1.024
11.166,1.025
11.196,1.023
11.226,1.021
11.256,1.020
11.286,1.025
11.316,1.026
11.346,1.020
11.376,1.016
11.406,1.028
11.436,1.021
11.466,1.024
11.496,1.030
11.526,1.017
11.556,1.021
11.586,1.022
11.616,1.022
11.646,1.023
11.676,1.015
11.706,1.017
11.736,1.022
11.766,1.025
11.796,1.017
11.826,1.018
11.856,1.023
11.886,1.024
11.916,1.022
11.946,1.026
11.976,1.024
12.006,1.026
12.036,1.026
12.066,1.022
12.096,1.021
12.126,1.018
12.156,1.023
12.186,1.023
12.216,1.028
12.246,1.020
12.276,1.020
12.306,1.023
12.336,1.023
12.366,1.023
12.396,1.023
12.426,1.027
12.456,1.017
12.486,1.026
12.516,1.023
12.546,1.017
12.576,1.022
12.606,1.024
12.636,1.024
12.666,1.023
12.696,1.024
12.726,1.022
12.756,1.026
12.786,1.017
12.816,1.021
12.846,1.023
12.876,1.024
12.906,1.021
12.936,1.020
12.966,1.021
12.996,1.023
13.026,1.024
13.056,1.022
13.086,1.025
13.116,1.020
13.146,1.027
13.176,1.024
13.206,1.016
13.236,1.022
13.266,1.026
13.296,1.021
13.326,1.021
13.356,1.024
13.386,1.024
13.416,1.024
13.446,1.022
13.476,1.023
13.506,1.018
13.536,1.023
13.566,1.024
13.596,1.019
13.626,1.021
13.656,1.023
13.686,1.022
13.716,1.021
13.746,1.021
13.776,1.011
13.806,1.026
13.836,1.027
13.866,1.019
13.896,1.019
13.926,1.025
13.956,1.025
13.986,1.023
14.016,1.022
14.046,1.021
14.076,1.022
14.106,1.023
14.136,1.024
14.166,1.021
14.196,1.021
14.226,1.021
14.256,1.029
14.286,1.020
14.316,1.025
14.346,1.024
14.376,1.022
14.406,1.022
14.436,1.023
14.466,1.023
14.496,1.025
14.526,1.021
14.556,1.014
