df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,respiration_rate
62.700,16
67.010,17
71.280,17
75.580,17
79.800,17
84.030,17
88.180,18
92.420,18
96.560,18
101.000,18
105.230,18
109.520,18
113.780,18
118.020,17
122.290,16
126.700,16
130.990,16
135.300,16
139.610,16
143.760,16
148.040,16
152.180,16
156.350,16
160.600,17
164.720,16
168.880,16
173.080,16
177.300,16
181.470,16
185.790,16
190.020,16
194.420,16
198.710,16
203.110,16
207.330,16
211.660,16
215.730,16
220.030,17
224.380,18
228.580,18
232.860,18
236.970,18
241.210,18
245.570,17
251.130,17
255.900,17
260.230,17
321.870,17
