df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,perfusion_ir
22.356,0.210
22.792,0.210
24.065,0.210
24.598,0.210
26.402,0.210
27.036,0.210
28.210,0.210
28.788,0.210
30.013,0.210
30.592,0.210
31.298,0.210
31.960,0.210
32.504,0.210
33.337,0.210
34.495,0.210
35.717,0.210
36.298,0.220
37.078,0.220
37.570,0.220
38.200,0.220
38.882,0.230
39.370,0.230
39.903,0.230
40.491,0.240
41.133,0.240
41.718,0.240
42.295,0.240
42.977,0.240
43.620,0.240
44.784,0.240
45.465,0.240
46.005,0.240
46.728,0.250
47.316,0.250
48.096,0.260
48.544,0.260
49.320,0.260
49.807,0.260
51.709,0.260
52.386,0.260
52.838,0.260
53.408,0.260
53.996,0.260
54.774,0.250
56.141,0.250
57.264,0.250
57.746,0.250
59.065,0.260
59.554,0.260
62.036,0.260
62.819,0.260
63.450,0.260
64.623,0.260
65.107,0.260
65.744,0.260
66.374,0.260
66.914,0.250
67.596,0.250
68.184,0.250
68.766,0.250
69.400,0.250
69.982,0.250
71.789,0.250
72.325,0.240
73.154,0.240
73.590,0.240
74.275,0.240
74.958,0.240
75.450,0.240
76.083,0.240
76.761,0.240
77.393,0.240
77.931,0.240
78.468,0.240
78.960,0.240
79.737,0.240
80.369,0.240
80.856,0.240
81.393,0.240
82.173,0.240
82.624,0.240
83.388,0.240
84.123,0.240
84.471,0.240
84.971,0.240
85.926,0.240
86.365,0.240
87.048,0.240
87.971,0.240
88.608,0.240
89.290,0.240
89.973,0.240
90.412,0.240
90.959,0.240
91.533,0.240
92.216,0.240
92.898,0.240
93.342,0.240
94.019,0.240
95.680,0.240
96.271,0.230
96.991,0.230
100.064,0.230
100.750,0.240
101.280,0.240
101.925,0.240
102.554,0.240
103.086,0.240
103.724,0.240
104.354,0.240
104.988,0.240
106.158,0.240
106.938,0.240
107.283,0.240
108.059,0.240
108.498,0.250
109.229,0.250
109.863,0.250
110.397,0.250
111.033,0.250
111.715,0.250
112.154,0.250
112.886,0.250
113.422,0.260
114.105,0.250
114.640,0.260
115.276,0.260
115.908,0.260
116.458,0.260
117.124,0.260
117.960,0.260
118.245,0.260
118.882,0.260
119.564,0.260
120.049,0.260
121.855,0.260
122.684,0.260
123.123,0.270
123.756,0.270
124.391,0.270
124.927,0.270
125.613,0.270
126.305,0.270
126.925,0.270
127.465,0.270
128.141,0.270
128.924,0.270
129.313,0.270
129.946,0.270
130.495,0.280
131.066,0.280
131.849,0.280
132.289,0.270
133.019,0.270
133.653,0.280
134.335,0.270
134.873,0.270
135.454,0.270
136.151,0.270
136.595,0.270
137.407,0.270
137.958,0.270
138.577,0.270
139.110,0.270
139.698,0.270
140.333,0.270
140.917,0.270
141.502,0.270
143.257,0.270
143.888,0.270
144.480,0.260
145.109,0.260
145.694,0.260
146.215,0.260
146.910,0.260
147.459,0.260
148.080,0.260
150.372,0.260
151.057,0.260
153.982,0.260
154.618,0.260
155.834,0.260
156.338,0.250
156.956,0.250
157.641,0.250
158.172,0.250
158.759,0.240
160.560,0.240
161.097,0.240
161.684,0.240
162.368,0.240
163.000,0.230
163.485,0.230
164.036,0.230
164.562,0.230
165.971,0.230
166.415,0.230
167.144,0.230
167.637,0.230
168.363,0.230
168.945,0.230
169.287,0.230
170.120,0.230
170.524,0.230
171.101,0.230
171.678,0.230
172.363,0.240
173.772,0.240
174.121,0.240
174.847,0.230
175.286,0.230
175.952,0.230
176.551,0.240
177.090,0.240
177.723,0.240
178.354,0.230
179.039,0.230
179.670,0.240
180.080,0.240
180.794,0.240
181.825,0.240
183.330,0.240
183.768,0.240
184.320,0.240
185.134,0.250
185.572,0.250
187.376,0.250
188.055,0.250
188.641,0.250
189.188,0.250
189.810,0.250
190.691,0.250
190.987,0.250
191.817,0.250
192.395,0.260
192.933,0.260
195.368,0.260
196.248,0.260
196.549,0.260
197.233,0.260
198.442,0.260
199.177,0.260
199.861,0.260
200.343,0.260
201.030,0.270
201.660,0.270
202.830,0.270
203.914,0.270
204.633,0.280
205.267,0.280
205.758,0.280
206.386,0.280
207.558,0.280
208.225,0.280
208.875,0.280
209.463,0.270
211.853,0.270
214.188,0.270
214.632,0.270
215.359,0.270
215.857,0.270
216.480,0.270
217.117,0.280
217.699,0.280
218.427,0.290
219.015,0.290
219.670,0.290
220.234,0.290
220.819,0.290
221.550,0.290
222.040,0.290
222.681,0.300
223.353,0.300
224.085,0.300
224.524,0.300
225.064,0.300
225.989,0.300
226.332,0.300
227.107,0.300
227.497,0.300
228.087,0.300
228.911,0.300
229.257,0.290
229.935,0.290
237.054,0.280
237.687,0.280
238.174,0.270
238.866,0.270
239.390,0.270
239.977,0.270
240.709,0.260
241.339,0.260
241.928,0.260
242.561,0.260
243.195,0.260
243.926,0.250
244.414,0.250
245.052,0.250
252.021,0.250
265.279,0.250
276.708,0.250
278.490,0.250
279.219,0.250
284.243,0.240
284.730,0.250
285.362,0.250
292.530,0.250
293.896,0.250
303.118,0.250
303.889,0.260
304.374,0.260
305.693,0.260
306.863,0.260
