df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,quality
14.800,59
15.714,85
16.909,83
17.773,80
18.700,87
20.162,86
20.750,82
21.920,81
23.038,84
23.723,84
24.647,83
25.963,84
26.792,83
27.914,78
29.035,79
29.961,82
30.840,84
31.816,80
32.691,75
33.766,75
34.836,77
35.665,82
36.591,82
37.767,86
38.648,80
39.614,78
40.979,77
41.707,82
42.880,84
43.709,79
44.636,65
45.513,75
46.975,78
47.611,78
48.784,79
49.770,79
50.585,83
51.554,80
52.688,81
53.654,83
54.483,80
55.653,82
56.530,77
57.457,74
58.870,81
59.799,84
60.430,84
61.603,82
62.531,82
63.602,83
64.915,84
65.500,81
66.475,83
68.039,84
68.474,87
69.700,86
70.570,83
71.448,85
72.374,83
73.836,79
74.471,82
75.406,87
76.518,84
77.739,83
78.322,84
79.586,84
80.710,82
81.341,82
82.514,83
83.440,83
84.271,81
85.488,84
86.416,82
87.293,81
88.474,82
89.385,84
90.266,80
91.436,81
92.408,82
93.289,82
94.553,84
95.337,84
96.258,81
97.627,79
98.406,69
99.188,62
100.695,76
101.380,82
102.163,82
103.380,82
104.257,78
105.134,82
106.353,84
107.426,83
108.157,84
109.329,82
110.206,79
111.131,83
112.301,85
113.361,82
114.299,83
115.323,84
116.392,83
117.230,81
118.345,79
119.174,82
120.149,82
121.320,81
122.151,83
123.025,82
124.339,78
125.171,83
126.024,83
127.410,80
128.242,82
129.024,77
130.192,77
131.167,80
132.236,85
133.166,84
134.092,83
134.969,84
136.286,85
137.066,82
138.092,84
139.210,83
140.040,81
141.016,74
142.138,77
143.013,80
143.939,82
145.451,78
145.987,78
147.010,79
148.132,80
148.961,86
149.889,82
151.306,81
151.935,81
152.861,82
154.031,84
154.957,83
156.135,84
157.008,84
157.980,84
158.820,80
160.222,80
160.916,79
161.831,77
163.147,82
163.882,82
164.756,84
166.072,80
166.854,81
167.733,81
168.997,80
169.829,78
170.804,83
172.312,82
172.800,83
174.018,81
174.899,81
175.775,78
176.797,79
177.870,80
178.796,81
180.014,82
180.844,80
181.772,81
182.647,82
183.817,82
184.841,77
185.913,80
186.938,83
187.717,79
188.887,77
190.009,80
190.936,84
191.664,83
192.791,76
193.957,79
194.592,79
195.762,76
196.639,74
197.565,79
199.025,83
199.707,85
200.539,80
201.709,83
202.635,80
203.529,78
204.686,78
205.703,80
206.487,82
207.705,84
208.582,80
209.755,81
210.679,74
211.707,78
212.677,69
213.653,62
214.530,63
215.458,76
216.627,77
217.504,80
218.628,81
219.646,71
220.526,68
221.449,75
222.574,78
223.500,80
224.380,82
225.548,81
226.474,79
227.352,81
228.572,82
229.448,81
230.469,79
231.544,78
232.470,80
233.397,71
234.520,72
235.399,68
236.325,71
237.492,71
238.369,74
239.298,73
240.511,76
241.391,76
242.270,78
243.488,84
244.317,87
245.243,83
246.413,61
247.340,58
248.262,50
249.486,29
250.315,26
251.191,50
252.413,52
253.290,36
254.167,28
255.385,37
256.355,21
257.139,0
258.357,29
259.235,26
260.112,25
261.331,50
262.209,42
263.134,32
264.305,43
265.184,63
266.111,61
267.287,66
268.207,67
269.082,67
270.252,60
271.235,50
272.057,49
273.230,53
274.172,52
275.031,48
276.250,40
277.317,53
278.005,54
279.272,48
280.101,45
281.028,53
282.198,62
283.076,70
283.999,73
285.170,74
286.047,81
287.229,81
288.384,52
289.021,49
289.947,38
291.117,37
292.043,44
292.921,45
294.285,44
295.019,63
295.910,63
297.065,60
297.991,32
298.868,35
300.089,30
300.968,24
301.842,36
303.106,50
304.182,62
304.862,63
306.034,74
306.912,54
307.789,36
309.014,36
309.886,33
310.812,34
311.982,32
312.860,34
314.081,51
314.960,54
315.979,64
316.805,47
317.930,49
318.861,57
319.733,55
320.904,55
321.972,60
322.707,52
323.926,53
325.098,58
325.681,59
326.899,67
327.778,77
328.657,84
329.874,84
330.764,85
331.678,93
333.237,85
333.728,82
334.653,76
335.874,73
336.705,75
337.629,72
339.087,73
339.721,73
340.604,79
341.774,79
342.698,82
343.572,82
344.745,82
345.671,57
346.838,35
347.767,33
348.934,32
349.763,32
350.741,34
351.911,59
352.542,80
353.712,84
354.635,79
355.616,55
356.686,57
357.612,59
358.492,60
360.099,52
360.631,48
361.463,57
362.633,55
363.559,57
364.437,52
365.656,59
366.628,43
367.456,30
368.629,19
369.563,24
370.437,45
371.628,45
372.490,25
373.404,22
374.821,20
375.457,29
376.381,42
377.553,71
378.723,79
379.355,64
380.673,57
381.643,51
382.330,48
383.549,49
384.428,42
385.302,60
386.569,76
387.593,72
388.276,63
389.540,73
390.523,79
391.250,80
392.469,64
393.364,50
394.224,47
395.442,50
396.319,45
397.248,49
398.416,51
399.293,57
400.363,55
401.390,40
402.267,35
403.338,38
404.559,39
405.289,34
406.167,33
407.337,45
408.263,50
409.235,52
410.360,52
411.237,55
412.114,61
413.333,63
414.223,65
415.089,71
416.353,74
417.230,68
418.092,69
419.375,77
420.305,73
421.133,74
422.299,83
423.132,82
424.070,75
425.229,74
426.106,70
427.032,67
428.202,64
429.079,64
