df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,battery
9.288,79
19.304,79
29.325,79
39.318,79
49.412,79
59.306,79
69.301,79
79.294,79
89.336,79
99.282,79
109.275,79
119.269,79
129.317,79
139.308,79
149.301,79
159.293,79
169.296,79
179.378,79
189.275,79
199.268,79
209.262,79
219.256,79
229.318,79
239.303,79
249.286,78
259.280,78
269.297,78
279.368,78
289.263,78
299.255,78
309.249,78
319.243,78
329.285,78
339.279,78
349.273,78
359.269,78
369.358,78
379.254,78
389.248,78
399.242,78
409.242,78
419.277,78
429.272,78
439.265,78
449.259,78
459.261,78
469.247,78
479.389,78
489.279,78
499.266,78
509.221,78
519.264,78
