df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,rr_int
9.922,3980
10.214,1230
10.217,315
10.221,25
10.507,10
11.190,285
11.628,590
11.775,645
12.460,640
12.847,380
13.001,250
14.260,615
14.946,610
15.532,600
16.064,600
16.749,615
17.333,615
17.868,605
18.453,595
19.011,590
19.672,595
20.257,630
20.988,620
21.476,630
22.158,615
22.743,595
23.430,620
24.011,640
24.547,620
25.229,620
25.814,595
26.351,580
26.936,585
27.618,595
28.174,605
28.739,615
29.276,600
29.975,600
30.543,605
31.277,630
31.908,660
32.497,665
33.178,640
33.839,610
34.443,625
34.980,635
35.711,635
36.247,650
36.930,630
37.540,610
38.051,600
38.733,595
39.322,600
39.880,595
40.443,590
40.983,590
41.712,585
42.243,605
42.926,635
43.609,655
44.195,660
44.730,615
45.417,605
45.999,590
46.679,620
47.264,630
47.947,650
48.487,650
49.188,640
49.799,605
50.312,605
51.018,615
51.559,620
52.237,605
52.823,610
53.358,590
53.943,585
54.626,600
55.162,610
55.844,630
56.430,645
56.983,620
57.697,610
58.235,625
58.916,635
59.501,630
60.183,620
60.870,605
61.305,595
61.987,620
62.572,630
63.255,635
63.791,625
64.473,600
65.058,615
65.595,620
66.326,620
66.862,620
67.545,610
68.133,605
68.715,625
69.348,620
69.933,625
70.518,600
71.178,600
71.737,600
72.273,615
73.005,610
73.541,615
74.224,635
74.808,595
75.442,610
76.049,610
76.612,620
77.295,615
77.880,605
78.420,590
78.953,590
79.683,600
80.220,600
80.805,605
81.346,595
82.023,600
82.610,605
83.291,620
83.827,615
84.461,595
84.951,585
85.631,595
86.216,605
86.752,600
87.341,590
87.877,580
88.556,595
89.141,600
89.824,625
90.360,610
90.946,595
91.481,600
92.164,595
92.749,615
93.335,600
93.870,605
94.558,585
95.089,580
95.674,575
96.264,590
96.941,605
97.644,650
98.160,665
98.843,630
99.428,610
99.964,630
100.703,620
101.231,635
101.914,625
102.499,600
103.035,590
103.717,600
104.302,605
104.839,605
105.522,605
106.106,610
106.642,595
107.251,600
107.910,610
108.468,625
109.177,635
109.714,610
110.299,600
110.981,600
111.517,600
112.102,605
112.785,625
113.366,620
114.052,605
114.589,615
115.126,610
115.856,615
116.441,605
116.978,595
117.663,600
118.196,610
118.781,620
119.512,605
120.000,605
120.586,595
121.324,605
121.804,615
122.535,625
123.071,635
123.656,620
124.344,605
124.875,620
125.557,635
126.291,650
126.825,645
127.415,625
128.092,605
128.629,600
129.214,605
129.925,605
130.483,625
131.017,625
131.700,600
132.242,610
132.968,615
133.504,620
134.186,635
134.772,620
135.308,615
135.990,620
136.577,625
137.258,640
137.867,630
138.525,605
139.061,600
139.646,585
140.183,585
140.865,595
141.450,610
141.988,575
142.572,590
143.108,590
143.790,595
144.375,615
145.058,630
145.594,610
146.181,600
146.861,615
147.402,610
147.983,610
148.668,595
149.253,580
149.787,590
150.323,590
150.908,595
151.591,605
152.127,585
152.712,585
153.248,590
153.930,595
154.515,615
155.051,600
155.637,585
156.320,600
156.904,610
157.586,630
158.123,630
158.708,610
159.245,595
159.927,580
160.515,590
161.048,595
161.633,590
162.319,595
162.852,580
163.436,580
164.023,590
164.510,590
165.241,605
165.777,610
166.364,605
166.898,590
167.584,585
168.165,585
168.702,585
169.238,590
169.969,600
170.508,595
171.091,595
171.671,595
172.318,600
172.894,620
173.577,630
174.114,600
174.698,595
175.234,595
175.919,600
176.502,605
177.038,605
177.623,590
178.305,585
178.891,585
179.427,595
180.068,600
180.646,605
181.231,600
181.815,600
182.450,600
183.034,620
183.717,615
184.253,630
184.984,640
185.520,615
186.106,600
186.642,595
187.324,605
187.909,610
188.592,615
189.158,605
189.713,605
190.444,610
190.943,620
191.686,630
192.199,660
192.882,640
193.467,630
194.150,605
194.686,600
195.271,605
195.953,605
196.493,610
197.109,625
197.757,630
198.342,620
199.077,630
199.712,635
200.292,645
200.974,645
201.511,630
202.099,615
202.778,600
203.315,605
203.900,605
204.582,610
205.118,600
205.709,600
206.240,590
206.922,610
207.507,610
208.191,625
208.774,620
209.457,610
209.994,630
210.578,635
211.288,595
211.797,580
212.389,580
212.919,565
213.506,570
214.039,585
214.626,590
215.307,600
215.845,595
216.428,585
216.964,595
217.652,585
218.329,625
218.963,665
219.650,655
220.184,620
220.719,615
221.455,620
221.990,625
222.669,630
223.204,625
223.936,610
224.472,605
225.008,610
225.757,605
226.285,615
226.861,595
227.446,590
228.081,585
228.664,600
229.201,615
229.887,620
230.488,615
231.151,600
231.316,625
231.395,165
231.398,10
231.687,15
232.272,410
232.809,610
233.493,600
234.076,610
234.613,565
235.246,585
235.734,565
236.367,580
237.001,590
237.537,580
238.122,600
238.810,615
239.341,620
239.926,615
240.657,620
241.145,625
241.876,625
242.412,630
243.097,630
243.680,610
244.362,615
244.929,625
245.192,660
246.313,240
247.043,1155
247.531,630
248.267,565
248.408,890
248.652,235
249.773,605
250.456,575
251.048,645
251.723,625
251.870,635
252.260,200
252.852,375
253.189,565
254.503,190
256.452,1520
256.599,2115
257.720,525
258.406,595
258.841,585
