df_hash,22ZHK4.Z3TLDX
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MMAJ
person_label,V101
date_time_start,2025-11-04_19-44-37.931000_+03
date_time_start_unix,1762271077.931
date_time_end,2025-11-04_19-53-23.400000_+03
length_difference_noticed,no

time,heart_rate
14.797,97
15.711,98
16.893,98
17.770,99
18.697,99
19.869,101
20.744,101
21.917,99
22.877,99
23.718,98
24.644,98
25.818,98
26.768,98
27.622,98
28.793,99
29.778,99
30.597,99
31.811,99
32.688,98
33.567,98
34.810,97
35.662,96
36.588,96
37.762,96
38.636,96
39.611,96
40.976,97
41.662,98
42.574,99
43.706,99
44.632,99
45.510,98
46.738,98
47.606,97
48.778,97
49.751,97
50.579,96
51.470,96
52.676,96
53.603,97
54.479,98
55.650,98
56.527,98
57.453,98
58.627,98
59.796,97
60.427,97
61.597,97
62.523,97
63.599,97
64.628,97
65.497,97
66.379,97
68.035,97
68.471,97
69.694,97
70.567,97
71.445,97
72.371,97
73.599,97
74.467,97
75.394,97
76.515,97
77.453,97
78.318,97
79.551,97
80.418,98
81.295,98
82.511,99
83.395,99
84.266,99
85.485,99
86.411,99
87.288,99
88.459,100
89.339,100
90.262,100
91.432,100
92.359,100
93.285,100
94.438,100
95.332,100
96.214,100
97.624,100
98.308,100
99.184,99
100.406,98
101.284,97
102.157,97
103.377,97
104.254,97
105.131,97
106.350,98
107.423,98
108.154,98
109.324,98
110.201,98
111.127,98
112.297,98
113.357,98
114.116,98
115.320,98
116.199,98
117.133,98
118.250,98
119.171,98
120.053,98
121.316,99
122.145,98
123.022,98
124.242,98
125.168,98
126.020,97
127.217,97
128.147,96
129.019,96
130.189,96
131.075,96
131.995,97
133.163,97
134.052,97
134.966,97
136.165,97
137.063,97
138.089,97
139.115,97
140.036,97
140.932,97
142.133,98
143.010,99
143.892,100
145.448,100
145.984,100
146.917,100
148.085,99
148.958,99
149.884,99
151.300,100
151.931,100
152.858,101
154.028,101
154.954,101
156.127,101
157.002,101
157.950,101
158.805,100
159.977,100
160.902,99
161.828,100
163.005,100
163.875,101
164.753,101
165.976,101
166.849,101
167.727,101
168.949,101
169.823,101
170.798,101
172.309,101
172.797,101
173.776,101
174.893,101
175.770,101
176.703,101
177.867,101
178.793,101
179.679,101
180.841,101
181.767,101
182.644,101
183.814,101
184.743,100
185.670,99
186.934,99
187.714,98
188.647,98
189.815,98
190.932,98
191.569,98
192.784,98
193.664,97
194.588,97
195.758,97
196.636,97
197.562,97
198.758,97
199.612,97
200.536,97
201.706,96
202.632,96
203.509,96
204.680,96
205.607,97
206.483,98
207.702,98
208.579,99
209.752,98
210.676,98
211.556,98
212.461,98
213.649,99
214.527,100
215.453,101
216.623,101
217.501,101
218.625,101
219.600,101
220.523,100
221.404,99
222.571,98
223.497,97
224.377,97
225.544,97
226.471,97
227.348,97
228.567,98
229.444,98
230.393,99
231.541,98
232.467,98
233.394,98
234.515,98
235.395,99
236.318,100
237.488,101
238.366,101
239.293,101
240.462,101
241.344,100
242.266,99
243.485,98
244.313,98
245.240,97
246.410,97
247.336,96
248.213,95
249.390,95
250.310,95
251.188,97
252.408,98
253.283,97
254.161,97
255.380,97
256.259,97
257.135,97
258.354,97
259.231,102
260.109,99
261.327,103
262.205,103
263.131,103
264.301,101
265.178,100
266.105,99
267.275,98
268.204,97
269.079,96
270.249,96
271.225,96
272.053,96
273.222,96
274.149,98
275.026,99
276.245,98
277.126,102
278.000,103
279.226,104
280.096,104
281.022,103
282.192,101
283.070,100
283.950,99
285.166,98
286.044,97
287.216,97
288.141,96
289.017,96
289.944,96
291.114,96
292.040,94
292.917,93
294.089,92
295.014,92
295.891,93
297.061,94
297.987,93
298.865,93
300.084,93
300.963,93
301.839,93
303.060,92
303.945,91
304.814,91
306.031,92
306.909,93
307.786,94
309.006,93
309.882,93
310.809,93
311.979,93
312.856,93
314.078,93
314.953,94
315.884,94
316.757,95
317.926,97
318.853,98
319.730,99
320.900,99
321.849,99
322.704,99
323.922,99
325.095,100
325.677,101
326.896,102
327.774,102
328.651,102
329.870,102
330.747,102
331.674,102
332.873,102
333.721,102
334.647,102
335.869,103
336.695,103
337.622,104
339.083,104
339.717,104
340.599,104
341.765,104
342.691,104
343.569,104
344.739,104
345.665,104
346.545,104
347.761,104
348.645,104
349.521,104
350.735,104
351.908,104
352.539,104
353.709,104
354.611,104
355.516,103
356.682,103
357.609,103
358.486,103
360.095,103
360.582,104
361.460,105
362.630,106
363.556,107
364.434,107
365.652,107
366.530,106
367.410,106
368.626,106
369.514,106
370.433,99
371.600,97
372.478,99
373.358,98
374.576,98
375.451,99
376.377,99
377.547,99
378.720,100
379.351,100
380.524,100
381.451,100
382.325,100
383.544,101
384.422,100
385.299,99
386.478,98
387.399,97
388.272,97
389.505,98
390.372,99
391.246,99
392.465,99
393.343,98
394.220,97
395.439,96
396.316,96
397.242,97
398.412,98
399.290,99
400.218,99
401.386,98
402.264,98
403.216,98
404.363,99
405.286,98
406.164,98
407.334,98
408.260,99
409.142,99
410.356,100
411.234,100
412.111,100
413.330,100
414.207,100
415.085,100
416.312,100
417.181,101
418.089,101
419.281,102
420.209,102
421.036,102
422.291,102
423.129,102
424.056,102
425.225,103
426.102,103
427.029,104
428.199,105
429.076,106
