df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,heart_rate
15.081,99
16.007,99
17.176,99
18.054,99
18.931,91
20.150,88
21.028,88
22.248,87
23.124,88
24.005,87
24.879,87
26.098,87
26.979,87
27.882,87
29.072,87
29.953,87
31.122,87
32.045,87
32.923,87
33.849,87
35.019,87
35.897,87
36.823,87
37.993,87
38.897,87
39.797,87
40.967,87
41.845,87
42.770,87
43.940,86
44.818,86
45.765,83
46.959,84
47.796,83
48.724,83
49.888,83
50.814,85
51.695,86
53.157,86
53.739,86
54.666,86
55.842,87
56.713,87
57.640,88
58.813,89
59.736,89
60.614,90
61.786,91
62.714,91
63.587,92
64.757,92
65.683,93
66.561,94
67.731,94
68.657,94
69.538,94
70.704,93
71.631,93
72.508,93
73.729,93
74.604,93
75.483,92
76.652,92
77.578,91
78.504,91
79.676,90
80.552,90
81.429,90
82.650,90
83.526,90
84.431,91
85.622,91
86.612,92
87.377,93
88.596,92
89.473,92
90.399,92
91.570,92
92.594,92
93.520,92
94.593,92
95.421,93
96.347,93
97.517,93
98.395,93
99.321,91
100.541,89
101.368,87
102.295,86
103.708,85
104.391,86
105.268,87
106.831,88
107.365,89
108.242,89
109.439,90
110.338,90
111.509,91
112.387,92
113.366,92
114.191,93
115.430,93
116.293,93
117.164,93
118.382,94
119.260,94
120.143,94
121.356,93
122.253,92
123.111,92
124.366,92
125.207,92
126.085,91
127.304,90
128.181,89
129.059,88
130.277,88
131.155,88
132.081,89
133.251,89
134.129,90
135.011,91
136.267,91
137.102,91
138.029,90
139.199,90
140.076,89
141.298,89
142.172,90
143.050,91
143.977,91
145.148,91
146.024,91
146.950,90
148.120,90
149.027,90
149.924,90
151.094,90
151.971,91
152.998,91
154.068,92
154.948,91
155.920,91
157.334,91
157.919,91
158.845,91
160.015,92
160.893,92
161.822,92
162.991,91
163.924,91
164.797,90
165.965,90
166.889,90
168.013,90
168.937,91
169.863,90
170.740,92
171.914,91
172.840,91
173.717,90
174.884,90
175.854,90
176.688,90
177.906,90
178.784,91
179.661,91
180.831,90
181.782,90
182.635,89
183.903,89
184.731,87
185.609,86
186.832,86
187.709,86
188.780,86
189.802,87
190.679,88
191.556,88
192.779,87
193.653,87
194.579,87
195.749,87
196.641,87
197.504,87
198.826,87
199.600,87
200.528,88
201.697,88
202.574,88
203.502,88
204.670,88
205.552,88
206.474,88
207.791,88
208.526,88
209.448,88
210.621,88
211.499,85
212.422,84
213.597,83
214.518,83
215.398,83
216.565,84
217.515,84
218.372,85
219.543,86
220.465,87
221.343,86
222.513,86
223.439,86
224.317,81
225.487,79
226.413,77
227.408,75
228.759,76
229.387,76
230.264,76
231.483,83
232.361,83
233.287,85
234.458,86
235.334,87
236.238,88
237.431,89
238.342,89
239.234,88
240.404,88
241.282,88
242.159,87
243.378,87
244.256,87
245.134,88
246.352,89
247.230,90
248.205,91
249.326,90
250.203,90
251.129,90
252.300,90
253.177,90
254.103,90
255.273,90
256.151,88
257.077,89
258.247,88
259.173,83
260.051,80
261.371,76
262.098,79
263.028,78
264.267,78
265.169,77
265.998,77
267.168,77
268.094,77
268.972,77
270.142,77
271.068,70
271.947,63
273.116,67
274.068,68
274.920,67
276.239,66
277.016,66
277.942,66
279.112,66
280.012,66
280.867,66
282.114,66
282.973,66
283.890,66
285.109,90
285.937,100
286.915,90
288.034,99
288.911,98
289.789,100
291.012,98
291.886,98
292.766,93
293.981,91
295.102,88
295.940,87
296.955,88
297.832,89
298.758,90
299.930,91
300.810,92
301.684,92
303.344,91
304.026,91
304.671,91
305.876,91
306.757,90
307.631,90
308.899,92
309.727,93
310.655,94
311.847,95
312.701,95
313.680,94
314.852,93
315.675,92
316.650,91
317.869,90
318.697,90
319.575,90
320.746,90
321.672,90
322.549,90
323.868,90
324.597,90
325.522,90
326.744,90
327.570,91
328.500,91
329.673,92
330.544,91
331.470,91
332.640,90
333.520,90
334.444,90
335.614,91
336.566,92
337.419,91
338.591,91
339.515,91
340.397,91
341.561,91
342.488,91
343.386,91
344.596,90
345.416,90
346.340,89
347.509,89
348.386,89
349.361,89
350.483,89
351.364,89
352.286,88
353.546,87
354.334,87
355.260,88
356.430,88
357.401,87
358.234,87
359.453,87
360.330,87
361.224,87
362.378,87
363.304,87
364.245,87
365.351,87
366.283,87
367.155,87
368.325,87
369.251,87
370.132,88
371.299,88
372.225,89
373.110,90
374.278,91
375.207,91
376.077,92
377.247,92
378.173,93
379.050,94
380.268,96
381.146,97
382.054,97
383.244,96
384.180,96
385.047,95
386.219,95
387.096,95
388.042,95
389.190,95
390.068,95
390.945,95
392.164,96
393.045,96
393.919,97
395.162,97
396.015,96
396.893,96
398.112,96
399.038,96
399.916,96
401.085,96
401.963,96
402.889,93
404.108,93
405.001,94
405.863,95
407.425,95
407.911,94
408.837,94
410.007,91
410.889,90
411.811,89
412.981,89
413.858,89
414.784,89
415.958,90
416.832,91
417.786,92
418.928,94
419.854,95
420.732,95
421.907,95
422.779,95
423.706,95
424.876,95
425.802,96
426.680,96
427.849,97
428.779,96
