df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,quality
15.084,54
16.010,65
17.180,58
18.057,43
18.934,56
20.155,73
21.031,71
22.251,69
23.128,35
24.102,27
24.883,31
26.101,19
27.173,27
28.148,0
29.082,21
30.096,19
31.125,19
32.049,23
32.927,45
33.852,58
35.024,64
35.900,70
36.826,73
37.996,73
38.901,76
39.801,77
40.970,76
42.139,75
42.785,57
43.944,52
44.821,47
45.793,51
46.973,37
47.801,25
48.772,20
49.893,33
50.820,47
51.743,55
53.161,66
53.742,74
54.672,75
56.082,74
56.716,76
57.643,79
59.106,75
59.833,72
60.617,73
61.881,73
62.716,74
63.590,74
64.761,73
65.687,73
66.564,70
67.734,68
68.660,61
69.684,58
70.708,67
71.634,67
72.511,67
73.781,67
74.608,66
75.487,74
76.655,71
77.581,72
78.508,74
79.680,75
80.556,73
81.433,74
82.795,77
83.531,73
84.436,74
85.633,72
86.616,72
87.385,51
88.600,41
89.476,44
90.403,30
91.574,0
92.602,28
93.527,37
94.598,33
95.568,32
96.352,51
97.523,58
98.398,56
99.324,35
100.588,43
101.372,65
102.298,71
103.711,67
104.394,70
105.272,65
106.835,70
107.372,71
108.246,72
109.443,71
110.341,73
111.513,75
112.634,75
113.510,73
114.485,74
115.655,74
116.338,74
117.167,67
118.386,59
119.266,58
120.381,53
121.359,54
122.331,59
123.114,68
124.430,70
125.214,66
126.090,59
127.307,69
128.186,76
129.064,79
130.291,78
131.159,80
132.085,74
133.255,77
134.133,79
135.106,82
136.270,79
137.106,74
138.032,70
139.202,77
140.079,75
141.302,70
142.176,71
143.053,77
143.980,71
145.393,71
146.027,74
146.957,75
148.124,73
149.293,77
149.927,72
151.097,69
151.975,74
153.008,74
154.071,75
155.240,75
155.923,74
157.339,74
157.922,75
158.848,69
160.021,67
160.899,72
161.916,66
163.135,70
164.015,76
164.844,77
166.209,80
166.904,77
168.018,74
168.947,65
169.869,47
170.747,49
172.206,47
172.888,51
173.763,50
174.887,51
176.105,50
176.691,47
177.910,41
178.794,61
179.666,58
180.835,63
182.102,79
182.639,80
183.907,74
184.735,63
185.613,71
187.170,54
187.754,52
188.784,56
189.805,58
190.686,53
191.560,52
193.022,46
193.657,45
194.583,26
195.752,22
196.773,22
197.507,21
198.840,19
199.607,19
200.531,33
201.700,51
202.587,54
203.598,73
204.674,76
205.646,78
206.478,79
207.796,78
208.719,75
209.451,59
210.765,40
211.694,48
212.428,54
213.790,51
214.523,56
215.640,63
216.569,63
217.518,60
218.567,64
219.685,63
220.469,67
221.348,47
222.521,22
223.444,28
224.366,47
225.490,76
226.417,73
227.486,45
228.785,39
229.391,32
230.267,34
231.486,51
232.364,47
233.291,62
234.702,59
235.338,59
236.241,46
237.443,46
238.457,44
239.238,43
240.408,48
241.285,53
242.164,61
243.381,66
244.259,58
245.140,53
246.356,68
247.233,73
248.214,66
249.329,34
250.206,44
251.133,27
252.316,0
253.181,0
254.106,0
255.276,0
256.154,36
257.082,24
258.250,35
259.190,30
260.054,36
261.393,32
262.105,0
263.171,0
264.270,8
265.173,0
266.002,39
267.172,46
268.098,44
268.975,0
270.146,5
271.072,40
272.049,36
273.119,25
274.289,0
274.923,0
276.242,0
277.020,29
277.945,38
279.115,35
280.139,34
280.870,38
282.126,36
283.166,35
283.895,49
285.158,57
285.942,60
286.919,60
288.040,67
288.914,63
289.794,35
291.254,23
291.936,32
293.058,51
293.986,72
295.105,74
295.990,53
296.959,33
297.836,48
298.762,66
299.939,60
301.101,56
301.690,49
303.349,37
304.032,32
304.717,33
305.890,36
306.907,35
307.635,33
308.947,42
309.730,43
310.660,52
312.070,58
312.704,67
313.688,61
314.857,57
315.680,60
316.656,66
317.873,61
318.703,63
319.624,66
320.755,29
321.684,0
322.552,0
323.870,4
324.604,2
325.526,1
326.774,0
327.573,31
328.740,46
329.764,57
330.547,62
331.473,62
332.647,64
333.569,58
334.447,44
335.617,60
336.735,58
337.617,40
338.737,29
339.520,27
340.541,25
341.567,26
342.493,31
343.414,33
344.603,38
345.659,37
346.490,39
347.513,37
348.397,40
349.364,53
350.486,59
351.458,62
352.290,55
353.555,61
354.337,54
355.263,51
356.433,54
357.459,43
358.237,32
359.456,40
360.333,23
361.228,10
362.383,0
363.307,0
364.383,0
365.359,0
366.334,0
367.158,0
368.329,0
369.257,16
370.379,33
371.302,33
372.229,42
373.298,54
374.373,53
375.494,59
376.079,61
377.250,60
378.178,51
379.055,56
380.272,59
381.150,63
382.319,51
383.292,53
384.269,67
385.050,68
386.278,68
387.102,66
388.120,61
389.198,60
390.071,57
390.948,54
392.168,60
393.139,60
393.927,58
395.238,50
396.068,33
396.897,32
398.115,19
399.042,0
399.924,29
401.089,26
401.966,30
402.893,37
404.115,65
405.229,59
405.866,57
407.431,58
407.914,32
408.934,23
410.011,36
411.082,52
411.814,57
412.986,61
413.861,64
414.788,63
416.201,57
416.836,48
417.789,45
418.932,56
419.858,57
420.736,53
422.050,61
422.783,62
423.709,57
424.879,50
425.805,52
426.686,50
427.853,50
428.973,47
