df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,ppg_quality
58.024,81
60.044,85
62.064,85
63.074,84
65.094,84
67.114,86
68.124,84
69.124,86
71.144,86
72.154,87
74.174,87
76.194,83
78.214,79
80.234,79
82.254,77
83.264,76
84.274,77
85.284,79
87.304,80
89.324,70
91.344,65
93.364,70
94.374,68
95.384,68
96.394,64
98.414,68
99.424,73
100.434,80
101.444,79
102.454,75
103.464,74
104.474,74
106.494,82
107.504,85
109.524,87
111.544,83
112.554,84
113.564,83
115.584,83
116.594,81
117.604,77
120.634,77
122.654,72
124.674,72
126.694,73
127.704,77
128.714,75
129.724,76
130.734,76
131.744,81
133.764,80
135.784,79
137.804,79
139.824,78
140.834,80
141.844,80
142.854,81
144.874,77
145.884,74
146.894,74
148.914,75
150.934,75
151.944,74
153.964,76
155.984,82
156.994,82
158.004,84
160.024,85
163.054,82
165.074,84
167.094,83
169.114,83
171.134,80
173.154,67
174.164,58
176.184,58
177.194,58
178.204,58
179.214,60
180.224,58
182.244,66
183.254,74
184.264,83
185.274,86
187.294,80
189.314,63
190.324,61
191.334,63
193.354,68
194.364,69
195.374,68
196.384,70
197.394,74
198.404,83
200.424,99
201.434,87
202.444,84
203.454,84
204.464,83
206.484,85
207.494,87
208.504,83
211.534,90
213.554,91
215.574,84
217.594,80
218.604,80
219.614,80
220.624,77
221.634,77
222.644,77
224.664,76
226.684,81
228.704,77
230.724,72
231.734,65
233.754,57
235.774,59
236.784,56
237.794,51
239.814,50
240.824,44
241.834,42
244.864,41
246.884,35
247.894,36
248.904,39
250.924,59
252.944,60
255.974,72
256.984,76
257.994,71
260.014,50
261.024,43
262.034,44
264.054,56
265.064,60
267.084,44
268.094,39
269.104,37
270.114,40
271.124,41
273.144,45
275.164,48
277.184,44
278.194,59
279.204,68
282.234,88
284.254,73
286.274,82
288.294,79
290.314,83
291.324,87
292.334,89
293.344,103
295.364,106
296.374,109
297.384,113
299.404,115
301.424,111
303.444,101
304.454,91
306.474,74
308.494,50
309.504,39
310.514,31
311.524,29
312.534,34
314.554,47
315.564,53
317.584,70
318.594,79
319.604,88
321.624,92
323.644,79
325.664,91
328.694,80
330.714,67
332.734,80
334.754,55
337.784,50
338.794,48
339.804,48
341.824,32
342.834,23
343.844,22
345.864,58
347.884,61
349.904,82
350.914,97
352.934,120
353.944,116
354.954,87
356.974,59
358.994,64
361.014,61
362.024,55
364.044,74
366.064,104
368.084,97
369.094,82
370.104,80
373.134,100
375.154,75
377.174,78
379.194,81
381.214,90
384.244,77
386.264,73
387.264,79
388.274,85
389.284,83
390.294,84
391.304,84
392.314,86
394.334,85
395.344,82
397.364,82
399.384,58
400.394,55
401.404,54
402.414,52
403.424,47
404.434,47
405.444,49
406.454,48
408.474,64
410.494,63
412.514,59
414.534,64
416.554,62
417.564,63
419.584,61
421.604,59
423.624,62
424.634,64
425.644,65
427.664,61
428.674,62
430.694,59
431.704,57
432.714,52
434.734,44
436.754,35
437.764,31
438.774,27
439.784,25
440.794,23
441.804,30
443.824,43
444.834,37
445.844,35
447.864,56
448.874,64
450.894,93
452.914,95
454.934,100
456.954,91
458.974,90
