df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,spo2
52.183,97
53.450,97
54.861,97
55.501,97
56.181,97
57.984,97
58.724,97
59.399,97
60.031,96
60.665,97
62.566,97
63.450,97
65.102,97
65.296,97
68.611,97
70.813,97
72.801,97
75.433,97
79.390,97
82.173,97
85.775,97
86.600,97
95.912,97
96.646,96
98.156,96
98.985,96
99.760,97
100.393,97
101.080,97
101.762,96
102.590,97
103.029,96
103.762,96
104.248,96
104.988,96
106.344,96
108.342,96
112.048,96
113.316,96
113.998,96
114.535,96
118.581,96
121.652,96
122.529,96
124.341,96
124.969,97
125.841,97
128.431,97
129.162,97
129.845,97
130.379,97
130.729,97
132.329,97
133.694,97
134.326,97
134.963,97
137.740,97
144.809,97
146.223,97
152.318,97
155.679,97
156.167,97
159.833,97
160.511,97
162.606,97
163.284,97
163.870,97
164.573,97
165.235,97
165.916,97
166.503,97
168.989,97
174.400,97
181.654,97
182.443,97
185.269,97
186.099,97
187.612,96
202.480,96
204.966,97
205.792,97
207.208,97
207.599,96
208.427,96
209.256,96
210.086,96
210.820,97
213.010,97
215.840,97
220.421,97
229.147,97
232.901,97
238.064,97
244.844,97
247.331,97
274.582,97
276.093,97
276.630,97
282.479,98
282.963,98
283.461,98
284.136,98
287.167,98
288.085,98
288.720,99
290.962,99
295.154,99
295.741,99
298.324,99
299.395,99
306.367,99
310.949,99
311.661,99
314.755,99
315.937,99
318.325,99
319.142,99
327.186,99
329.134,99
331.230,99
337.177,99
349.950,99
353.415,99
372.667,99
377.932,99
379.397,99
383.341,99
383.858,98
384.169,98
388.853,97
404.943,97
407.474,97
408.160,97
408.512,97
410.107,97
410.790,97
411.521,97
417.033,97
418.541,97
446.037,97
