df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,acc_mag
4.929,1.008
4.959,1.013
4.989,1.015
5.019,1.012
5.049,1.013
5.079,1.011
5.109,1.009
5.139,1.012
5.169,1.014
5.199,1.009
5.229,1.013
5.259,1.011
5.289,1.010
5.319,1.009
5.349,1.011
5.379,1.011
5.409,1.007
5.439,1.012
5.469,1.014
5.499,1.011
5.529,1.014
5.559,1.014
5.589,1.012
5.619,1.007
5.649,1.007
5.679,1.017
5.709,1.016
5.739,1.011
5.769,1.010
5.799,1.017
5.829,1.017
5.859,1.018
5.889,1.004
5.919,1.014
5.949,1.012
5.979,1.008
6.009,1.012
6.039,1.014
6.069,1.010
6.099,1.008
6.129,1.010
6.159,1.014
6.189,1.008
6.219,1.013
6.249,1.016
6.279,1.016
6.309,1.011
6.339,1.013
6.369,1.014
6.399,1.016
6.429,1.010
6.459,1.010
6.489,1.012
6.519,1.013
6.549,1.012
6.579,1.006
6.609,1.010
6.639,1.014
6.669,1.010
6.699,1.011
6.729,1.015
6.759,1.014
6.789,1.012
6.819,1.013
6.849,1.012
6.879,1.009
6.909,1.013
6.939,1.018
6.969,1.013
6.999,1.011
7.029,1.012
7.059,1.018
7.089,1.016
7.119,1.013
7.149,1.013
7.179,1.014
7.209,1.012
7.239,1.010
7.269,1.010
7.299,1.017
7.329,1.017
7.359,1.020
7.389,1.018
7.419,1.013
7.449,1.008
7.479,1.007
7.509,1.013
7.539,1.012
7.569,1.010
7.599,1.007
7.629,1.002
7.659,1.010
7.689,1.012
7.719,1.016
7.749,1.014
7.779,1.010
7.809,1.014
7.839,1.015
7.869,1.014
7.899,1.016
7.929,1.018
7.959,1.016
7.989,1.015
8.019,1.015
8.049,1.013
8.079,1.015
8.109,1.015
8.139,1.016
8.169,1.020
8.199,1.012
8.229,1.011
8.259,1.017
8.289,1.011
8.319,1.013
8.349,1.014
8.379,1.009
8.409,1.019
8.439,1.025
8.469,1.016
8.499,1.019
8.529,1.039
8.559,0.987
8.589,1.049
8.619,1.019
8.649,0.992
8.679,0.998
8.709,1.008
8.739,1.020
8.769,1.021
8.799,1.027
8.829,1.018
8.859,1.014
8.889,0.999
8.919,0.999
8.949,1.004
8.979,1.000
9.009,0.995
9.039,1.014
9.069,1.009
9.099,1.012
9.129,1.003
9.159,1.014
9.189,1.001
9.219,1.013
9.249,1.005
9.279,1.004
9.309,1.016
9.339,0.998
9.369,0.990
9.399,0.998
9.429,1.005
9.459,1.000
9.489,0.984
9.519,1.002
9.549,1.006
9.579,1.002
9.609,1.002
9.639,1.023
9.669,1.020
9.699,1.010
9.729,1.028
9.759,1.036
9.789,1.016
9.819,1.008
9.849,1.000
9.879,1.017
9.909,1.018
9.939,1.006
9.969,1.009
9.999,1.015
10.029,1.018
10.059,1.013
10.089,1.005
10.119,1.001
10.149,1.003
10.179,1.035
10.209,0.974
10.239,0.975
10.269,1.034
10.299,1.059
10.329,0.975
10.359,1.050
10.389,1.071
10.419,1.004
10.449,1.032
10.479,1.026
10.509,0.977
10.539,0.977
10.569,0.976
10.599,0.971
10.629,0.957
10.659,0.968
10.689,1.015
10.719,0.993
10.749,0.985
10.779,1.033
10.809,1.068
10.839,1.058
10.869,1.051
10.899,1.041
10.929,1.043
10.959,1.032
10.989,1.032
11.019,1.035
11.049,1.033
11.079,1.025
11.109,1.017
11.139,1.022
11.169,1.026
11.199,1.038
11.229,1.024
11.259,1.019
11.289,1.019
11.319,1.022
11.349,1.013
11.379,1.011
11.409,1.021
11.439,1.022
11.469,1.020
11.499,1.018
11.529,1.020
11.559,1.022
11.589,1.026
11.619,1.020
11.649,1.022
11.679,1.021
11.709,1.026
11.739,1.021
11.769,1.018
11.799,1.023
11.829,1.024
11.859,1.020
11.889,1.021
11.919,1.019
11.949,1.021
11.979,1.024
12.009,1.011
12.039,1.025
12.069,1.027
12.099,1.021
12.129,1.026
12.159,1.021
12.189,1.026
12.219,1.023
12.249,1.022
12.279,1.027
12.309,1.028
12.339,1.021
12.369,1.019
12.399,1.021
12.429,1.021
12.459,1.016
12.489,1.019
12.519,1.020
12.549,1.022
12.579,1.026
12.609,1.019
12.639,1.025
12.669,1.022
12.699,1.023
12.729,1.021
12.759,1.021
12.789,1.021
12.819,1.021
12.849,1.022
12.879,1.021
12.909,1.022
12.939,1.021
12.969,1.024
12.999,1.028
13.029,1.023
13.059,1.022
13.089,1.023
13.119,1.020
13.149,1.021
13.179,1.021
13.209,1.016
13.239,1.021
13.269,1.021
13.299,1.021
13.329,1.026
13.359,1.026
13.389,1.025
13.419,1.026
13.449,1.019
13.479,1.027
13.509,1.018
13.539,1.020
13.569,1.027
13.599,1.024
13.629,1.021
13.659,1.022
13.689,1.025
13.719,1.027
13.749,1.028
13.779,1.016
13.809,1.024
13.839,1.021
13.869,1.022
13.899,1.024
13.929,1.021
13.959,1.025
13.989,1.023
14.019,1.022
14.049,1.022
14.079,1.029
14.109,1.019
14.139,1.020
14.169,1.031
14.199,1.018
14.229,1.021
14.259,1.025
14.289,1.021
