df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,acc_mag
4.463,0.947
4.493,0.938
4.523,0.938
4.553,0.952
4.583,0.940
4.613,0.938
4.643,0.938
4.673,0.936
4.703,0.948
4.733,0.941
4.763,0.944
4.793,0.931
4.823,0.941
4.853,0.939
4.883,0.945
4.913,0.943
4.943,0.937
4.973,0.937
5.003,0.943
5.033,0.940
5.063,0.943
5.093,0.933
5.123,0.944
5.153,0.948
5.183,0.943
5.213,0.937
5.243,0.941
5.273,0.942
5.303,0.939
5.333,0.943
5.363,0.946
5.393,0.941
5.423,0.933
5.453,0.938
5.483,0.953
5.513,0.922
5.543,0.940
5.573,0.934
5.603,0.941
5.633,0.942
5.663,0.938
5.693,0.938
5.723,0.951
5.753,0.946
5.783,0.938
5.813,0.946
5.843,0.933
5.873,0.936
5.903,0.947
5.933,0.946
5.963,0.945
5.993,0.943
6.023,0.942
6.053,0.935
6.083,0.943
6.113,0.948
6.143,0.938
6.173,0.950
6.203,0.939
6.233,0.938
6.263,0.946
6.293,0.928
6.323,0.936
6.353,0.947
6.383,0.940
6.413,0.932
6.443,0.947
6.473,0.944
6.503,0.938
6.533,0.923
6.563,0.951
6.593,0.947
6.623,0.901
6.653,0.928
6.683,0.941
6.713,0.923
6.743,0.948
6.773,0.937
6.803,0.956
6.833,0.950
6.863,0.969
6.893,0.947
6.923,0.955
6.953,0.955
6.983,0.946
7.013,0.938
7.043,0.936
7.073,0.941
7.103,0.941
7.133,0.929
7.163,0.923
7.193,0.939
7.223,0.941
7.253,0.936
7.283,0.927
7.313,0.940
7.343,0.944
7.373,0.958
7.403,0.932
7.433,0.935
7.463,0.931
7.493,0.927
7.523,0.924
7.553,0.923
7.583,0.957
7.613,0.950
7.643,0.925
7.673,0.925
7.703,0.916
7.733,0.923
7.763,0.914
7.793,0.944
7.823,0.957
7.853,0.925
7.883,0.923
7.913,0.935
7.943,0.943
7.973,0.938
8.003,0.943
8.033,0.944
8.063,0.945
8.093,0.943
8.123,0.950
8.153,0.954
8.183,0.931
8.213,0.943
8.243,0.928
8.273,0.932
8.303,0.933
8.333,0.937
8.363,0.952
8.393,0.950
8.423,0.936
8.453,0.931
8.483,0.935
8.513,0.939
8.543,0.931
8.573,0.944
8.603,0.941
8.633,0.934
8.663,0.926
8.693,0.929
8.723,0.938
8.753,0.933
8.783,0.948
8.813,0.938
8.843,0.920
8.873,0.927
8.903,0.942
8.933,0.939
8.963,0.991
8.993,0.943
9.023,0.938
9.053,0.921
9.083,0.936
9.113,0.935
9.143,0.926
9.173,0.938
9.203,0.952
9.233,0.939
9.263,0.945
9.293,0.925
9.323,0.957
9.353,0.937
9.383,0.951
9.413,0.946
9.443,0.942
9.473,0.960
9.503,0.961
9.533,0.968
9.563,1.000
9.593,0.997
9.623,0.962
9.653,0.965
9.683,0.938
9.713,0.929
9.743,0.910
9.773,0.894
9.803,0.909
9.833,0.970
9.863,0.921
9.893,0.962
9.923,0.952
9.953,0.979
9.983,0.971
10.013,0.903
10.043,0.947
10.073,0.969
10.103,0.922
10.133,0.918
10.163,0.954
10.193,0.985
10.223,0.977
10.253,0.938
10.283,0.919
10.313,0.960
10.343,0.901
10.373,0.940
10.403,0.938
10.433,0.946
10.463,0.947
10.493,0.952
10.523,0.965
10.553,0.981
10.583,0.966
10.613,0.944
10.643,0.974
10.673,0.968
10.703,0.950
10.733,0.973
10.763,1.007
10.793,0.958
10.823,0.939
10.853,0.953
10.883,0.966
10.913,0.937
10.943,0.941
10.973,0.937
11.003,0.960
11.033,0.969
11.063,0.964
11.093,0.968
11.123,0.975
11.153,0.950
11.183,0.955
11.213,0.968
11.243,0.969
11.273,0.965
11.303,0.931
11.333,0.937
11.363,0.939
11.393,0.983
11.423,0.991
11.453,0.964
11.483,0.979
11.513,1.026
11.543,1.014
11.573,0.989
11.603,0.991
11.633,0.987
11.663,0.969
11.693,0.973
11.723,0.981
11.753,0.980
11.783,0.992
11.813,0.990
11.843,0.997
11.873,0.989
11.903,0.969
11.933,0.972
11.963,0.958
11.993,0.976
12.023,1.001
12.053,0.976
12.083,0.998
12.113,0.987
12.143,0.981
12.173,0.999
12.203,0.986
12.233,0.987
12.263,0.983
12.293,0.979
12.323,0.972
12.353,0.979
12.383,0.962
12.413,0.975
12.443,0.963
12.473,0.956
12.503,0.960
12.533,0.964
12.563,0.951
12.593,0.963
12.623,0.958
12.653,0.921
12.683,0.929
12.713,0.958
12.743,0.937
12.773,0.958
12.803,0.976
12.833,0.966
12.863,0.953
12.893,0.935
12.923,0.954
12.953,0.953
12.983,0.939
13.013,0.967
13.043,0.983
13.073,0.960
13.103,0.955
13.133,0.952
13.163,0.945
13.193,0.961
13.223,0.960
13.253,0.965
13.283,0.951
13.313,0.934
13.343,0.922
13.373,0.952
13.403,0.959
13.433,0.945
13.463,0.958
13.493,0.963
13.523,0.956
13.553,0.942
13.583,0.933
13.613,0.924
13.643,0.942
13.673,0.951
13.703,0.953
13.733,0.956
13.763,0.954
13.793,0.960
13.823,0.959
