df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,ppg_med
5.448,591
5.473,679
5.498,820
5.523,895
5.548,866
5.573,835
5.598,916
5.623,1064
5.648,1121
5.673,1029
5.698,932
5.723,983
5.748,1120
5.773,1129
5.798,932
5.823,724
5.848,713
5.873,816
5.898,742
5.923,392
5.948,27
5.973,-76
5.998,-28
6.023,-212
6.048,-756
6.073,-1316
6.098,-1527
6.123,-1536
6.148,-1838
6.173,-2595
6.198,-3361
6.223,-3665
6.248,-3694
6.273,-4083
6.298,-5038
6.323,-5983
6.348,-6318
6.373,-6282
6.398,-6682
6.423,-7770
6.448,-8819
6.473,-9074
6.498,-8833
6.523,-9111
6.548,-10224
6.573,-11258
6.598,-11268
6.623,-10629
6.648,-10610
6.673,-11603
6.698,-12470
6.723,-12032
6.748,-10762
6.773,-10239
6.798,-10958
6.823,-11502
6.848,-10399
6.873,-8241
6.898,-7007
6.923,-7323
6.948,-7417
6.973,-5442
6.998,-2140
7.023,-12
7.048,134
7.073,538
7.098,3556
7.123,8252
7.148,11404
7.173,11943
7.198,12757
7.223,16944
7.248,23305
7.273,27552
7.298,28188
7.323,29089
7.348,32767
7.373,32767
7.398,32767
7.423,32767
7.448,32767
7.473,32767
7.498,32767
7.523,32767
7.548,32767
7.573,32767
7.598,32767
7.623,32767
7.648,32767
7.673,32767
7.698,15725
7.723,-32768
7.748,-32768
7.773,-32768
7.798,-32768
7.823,-32768
7.848,-32768
7.873,-32768
7.898,-32768
7.923,-32768
7.948,-32768
7.973,-32768
7.998,-32768
8.023,-32768
8.048,-32768
8.073,-30072
8.098,-27580
8.123,-27474
8.148,-24782
8.173,-18736
8.198,-13247
8.223,-11299
8.248,-11178
8.273,-9227
8.298,-4820
8.323,-872
8.348,324
8.373,40
8.398,1102
8.423,4054
8.448,6688
8.473,7230
8.498,6653
8.523,7145
8.548,9127
8.573,10871
8.598,11001
8.623,10302
8.648,10487
8.673,11824
8.698,12868
8.723,12496
8.748,11366
8.773,10906
8.798,11378
8.823,11657
8.848,10866
8.873,9556
8.898,8874
8.923,9006
8.948,9013
8.973,8167
8.998,6907
9.023,6166
9.048,6093
9.073,5911
9.098,5009
9.123,3730
9.148,2857
9.173,2585
9.198,2377
9.223,1792
9.248,1089
9.273,827
9.298,1084
9.323,1369
9.348,1290
9.373,1028
9.398,1012
9.423,1303
9.448,1528
9.473,1399
9.498,1080
9.523,929
9.548,1007
9.573,1029
9.598,764
9.623,338
9.648,47
9.673,-14
9.698,-29
9.723,-173
9.748,-402
9.773,-554
9.798,-597
9.823,-647
9.848,-778
9.873,-885
9.898,-818
9.923,-577
9.948,-322
9.973,-184
9.998,-135
10.023,-65
10.048,37
10.073,63
10.098,-79
10.123,-337
10.148,-552
10.173,-617
10.198,-552
10.223,-435
10.248,-305
10.273,-174
10.298,-95
10.323,-43
10.348,-1
10.373,34
10.398,53
10.423,38
10.448,-15
10.473,-80
10.498,-109
10.523,-70
10.548,22
10.573,118
10.598,166
10.623,163
10.648,144
10.673,149
10.698,185
10.723,236
10.748,288
10.773,349
10.798,430
10.823,514
10.848,548
10.873,473
10.898,272
10.923,-8
10.948,-273
10.973,-428
10.998,-430
11.023,-317
11.048,-176
11.073,-84
11.098,-53
11.123,-36
11.148,26
11.173,139
11.198,251
11.223,305
11.248,296
11.273,274
11.298,296
11.323,369
11.348,455
11.373,509
11.398,525
11.423,530
11.448,547
11.473,570
11.498,576
11.523,555
11.548,525
11.573,506
11.598,499
11.623,486
11.648,452
11.673,408
11.698,378
11.723,367
11.748,339
11.773,245
11.798,70
11.823,-134
11.848,-276
11.873,-284
11.898,-150
11.923,74
11.948,321
11.973,551
11.998,763
12.023,962
12.048,1133
12.073,1235
12.098,1233
12.123,1122
12.148,942
12.173,754
12.198,609
12.223,515
12.248,442
12.273,348
12.298,215
12.323,63
12.348,-73
12.373,-184
12.398,-291
12.423,-429
12.448,-602
12.473,-771
12.498,-876
12.523,-872
12.548,-759
12.573,-572
12.598,-364
12.623,-179
12.648,-41
12.673,41
12.698,67
12.723,34
12.748,-58
12.773,-190
12.798,-313
12.823,-370
12.848,-337
12.873,-239
12.898,-131
12.923,-38
12.948,58
12.973,195
12.998,375
13.023,559
13.048,709
13.073,826
13.098,929
13.123,1008
13.148,1011
13.173,897
13.198,699
13.223,511
13.248,404
13.273,359
13.298,310
13.323,230
13.348,184
13.373,251
13.398,421
13.423,573
13.448,578
13.473,424
13.498,223
13.523,109
13.548,117
13.573,174
13.598,188
13.623,138
13.648,83
13.673,86
13.698,150
13.723,227
13.748,269
13.773,274
13.798,279
13.823,315
13.848,376
13.873,420
13.898,405
13.923,323
13.948,196
13.973,61
13.998,-48
14.023,-112
14.048,-112
14.073,-35
14.098,101
14.123,247
14.148,330
14.173,306
14.198,195
14.223,65
14.248,-12
14.273,-11
14.298,47
14.323,132
14.348,219
14.373,305
14.398,390
14.423,462
14.448,503
14.473,491
14.498,414
14.523,281
14.548,129
14.573,9
14.598,-46
14.623,-45
14.648,-23
14.673,-8
