df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,battery
10.981,49
21.023,49
30.970,49
40.963,49
50.957,49
60.951,49
71.008,49
80.987,49
90.982,49
100.981,49
110.978,49
120.967,49
130.957,48
141.000,48
151.044,48
161.085,48
170.982,48
181.032,48
190.970,48
201.061,48
210.961,48
220.990,48
230.969,48
240.944,48
250.933,48
261.073,48
270.978,48
281.060,48
290.957,48
300.974,48
310.945,48
320.963,48
330.936,48
341.024,48
350.921,48
361.060,48
370.962,48
380.951,48
390.945,48
401.036,48
410.936,48
421.024,47
430.924,47
440.914,47
450.961,47
460.951,47
470.945,47
480.939,47
490.933,47
